Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jabrill Peppers,CLE,TEN,2017-10-22,2017,7,Questionable,Toe,,
Jabrill Peppers,CLE,MIN,2017-10-29,2017,8,Questionable,Toe,,
Jabrill Peppers,CLE,GNB,2017-12-10,2017,14,Doubtful,Knee,,
Jabrill Peppers,CLE,CIN,2018-12-23,2018,16,Questionable,Neck,,
Jabrill Peppers,NYG,GNB,2019-12-01,2019,13,Out,Back,,
Jabrill Peppers,NYG,PHI,2019-12-09,2019,14,Out,Back,,
Jabrill Peppers,NYG,MIA,2019-12-15,2019,15,Injured Reserve,,,
Jabrill Peppers,NYG,WAS,2019-12-22,2019,16,Injured Reserve,,,
Jabrill Peppers,NYG,PHI,2019-12-29,2019,17,Injured Reserve,,,
Jabrill Peppers,NYG,LAR,2020-10-04,2020,4,Out,Ankle,,
Jabrill Peppers,NYG,DAL,2020-10-11,2020,5,Questionable,Ankle,,
