Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jack Crawford,ATL,MIA,2017-10-15,2017,6,Injured Reserve,Bicep,,
Jack Crawford,ATL,NWE,2017-10-22,2017,7,Injured Reserve,Bicep,,
Jack Crawford,ATL,NYJ,2017-10-29,2017,8,Injured Reserve,Bicep,,
Jack Crawford,ATL,CAR,2017-11-05,2017,9,Injured Reserve,Bicep,,
Jack Crawford,ATL,DAL,2017-11-12,2017,10,Injured Reserve,Bicep,,
Jack Crawford,ATL,SEA,2017-11-20,2017,11,Injured Reserve,Bicep,,
Jack Crawford,ATL,TAM,2017-11-26,2017,12,Injured Reserve,Bicep,,
Jack Crawford,ATL,MIN,2017-12-03,2017,13,Injured Reserve,Bicep,,
Jack Crawford,ATL,NOR,2017-12-07,2017,14,Injured Reserve,Bicep,,
Jack Crawford,ATL,TAM,2017-12-18,2017,15,Injured Reserve,Bicep,,
Jack Crawford,ATL,NOR,2017-12-24,2017,16,Injured Reserve,Bicep,,
Jack Crawford,ATL,CAR,2017-12-31,2017,17,Injured Reserve,Bicep,,
