Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jacquies Smith,TAM,ARI,2016-09-18,2016,2,Injured Reserve,Knee,,
Jacquies Smith,TAM,LAR,2016-09-25,2016,3,Injured Reserve,Knee,,
Jacquies Smith,TAM,DEN,2016-10-02,2016,4,Injured Reserve,Knee,,
Jacquies Smith,TAM,CAR,2016-10-10,2016,5,Injured Reserve,Knee,,
Jacquies Smith,TAM,SFO,2016-10-23,2016,7,Injured Reserve,Knee,,
Jacquies Smith,TAM,OAK,2016-10-30,2016,8,Injured Reserve,Knee,,
Jacquies Smith,TAM,ATL,2016-11-03,2016,9,Injured Reserve,Knee,,
Jacquies Smith,TAM,CHI,2016-11-13,2016,10,Injured Reserve,Knee,,
Jacquies Smith,TAM,KAN,2016-11-20,2016,11,Injured Reserve,Knee,,
Jacquies Smith,TAM,SEA,2016-11-27,2016,12,Injured Reserve,Knee,,
Jacquies Smith,TAM,SDG,2016-12-04,2016,13,Injured Reserve,Knee,,
Jacquies Smith,TAM,NOR,2016-12-11,2016,14,Injured Reserve,Knee,,
Jacquies Smith,TAM,DAL,2016-12-18,2016,15,Injured Reserve,Knee,,
Jacquies Smith,TAM,NOR,2016-12-24,2016,16,Injured Reserve,Knee,,
Jacquies Smith,TAM,CAR,2017-01-01,2016,17,Injured Reserve,Knee,,
Jacquies Smith,TAM,CHI,2017-09-17,2017,2,Injured Reserve,Knee,,
Jacquies Smith,TAM,MIN,2017-09-24,2017,3,Doubtful,Illness,,
Jacquies Smith,TAM,NWE,2017-10-05,2017,5,Injured Reserve,Knee,,
Jacquies Smith,TAM,ARI,2017-10-15,2017,6,Injured Reserve,Knee,,
Jacquies Smith,TAM,BUF,2017-10-22,2017,7,Injured Reserve,Knee,,
Jacquies Smith,TAM,CAR,2017-10-29,2017,8,Injured Reserve,Knee,,
Jacquies Smith,TAM,NOR,2017-11-05,2017,9,Injured Reserve,Knee,,
Jacquies Smith,TAM,MIA,2017-11-19,2017,11,Injured Reserve,Knee,,
Jacquies Smith,TAM,ATL,2017-11-26,2017,12,Injured Reserve,Knee,,
Jacquies Smith,TAM,GNB,2017-12-03,2017,13,Injured Reserve,Knee,,
Jacquies Smith,TAM,DET,2017-12-10,2017,14,Injured Reserve,Knee,,
Jacquies Smith,TAM,ATL,2017-12-18,2017,15,Injured Reserve,Knee,,
Jacquies Smith,TAM,CAR,2017-12-24,2017,16,Injured Reserve,Knee,,
Jacquies Smith,TAM,NOR,2017-12-31,2017,17,Injured Reserve,Knee,,
Jacquies Smith,OAK,KAN,2018-12-02,2018,13,Injured Reserve,Achilles,,
Jacquies Smith,OAK,PIT,2018-12-09,2018,14,Injured Reserve,Achilles,,
Jacquies Smith,OAK,DEN,2018-12-24,2018,16,Injured Reserve,Achilles,,
Jacquies Smith,OAK,KAN,2018-12-30,2018,17,Injured Reserve,Achilles,,
