Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jadeveon Clowney,HOU,DET,2016-10-30,2016,8,Questionable,elbow,,
Jadeveon Clowney,HOU,GNB,2016-12-04,2016,13,Questionable,"elbow, wrist",,
Jadeveon Clowney,HOU,IND,2016-12-11,2016,14,Questionable,"elbow, wrist",,
Jadeveon Clowney,HOU,TEN,2017-01-01,2016,17,Out,"elbow, wrist",,
Jadeveon Clowney,HOU,JAX,2017-12-17,2017,15,Questionable,Knee,,
Jadeveon Clowney,HOU,TEN,2018-09-16,2018,2,Questionable,Back,,
Jadeveon Clowney,HOU,DEN,2018-11-04,2018,9,Questionable,Groin,,
Jadeveon Clowney,SEA,PHI,2019-11-24,2019,12,Questionable,Knee,,
Jadeveon Clowney,SEA,MIN,2019-12-02,2019,13,Questionable,Core,,
Jadeveon Clowney,SEA,LAR,2019-12-08,2019,14,Questionable,Core,,
Jadeveon Clowney,SEA,CAR,2019-12-15,2019,15,Questionable,Illness,,
Jadeveon Clowney,SEA,ARI,2019-12-22,2019,16,Doubtful,Core,,
Jadeveon Clowney,TEN,CHI,2020-11-08,2020,9,Questionable,Knee,,
Jadeveon Clowney,TEN,BAL,2020-11-22,2020,11,Out,Knee,,
Jadeveon Clowney,TEN,IND,2020-11-29,2020,12,Injured Reserve,,,
Jadeveon Clowney,TEN,CLE,2020-12-06,2020,13,Injured Reserve,,,
Jadeveon Clowney,TEN,JAX,2020-12-13,2020,14,Injured Reserve,,,
Jadeveon Clowney,TEN,DET,2020-12-20,2020,15,Injured Reserve,,,
Jadeveon Clowney,TEN,GNB,2020-12-27,2020,16,Injured Reserve,,,
Jadeveon Clowney,TEN,HOU,2021-01-03,2020,17,Injured Reserve,,,
