Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jake Brendel,MIA,TEN,2018-09-09,2018,1,Injured Reserve,Calf,,
Jake Brendel,MIA,NYJ,2018-09-16,2018,2,Injured Reserve,Calf,,
Jake Brendel,MIA,OAK,2018-09-23,2018,3,Injured Reserve,Calf,,
Jake Brendel,MIA,NWE,2018-09-30,2018,4,Injured Reserve,Calf,,
Jake Brendel,MIA,CIN,2018-10-07,2018,5,Injured Reserve,Calf,,
Jake Brendel,MIA,CHI,2018-10-14,2018,6,Injured Reserve,Calf,,
Jake Brendel,MIA,DET,2018-10-21,2018,7,Injured Reserve,Calf,,
Jake Brendel,MIA,HOU,2018-10-25,2018,8,Injured Reserve,Calf,,
Jake Brendel,MIA,NWE,2018-12-09,2018,14,Out,Calf,,
Jake Brendel,MIA,MIN,2018-12-16,2018,15,Injured Reserve,Calf,,
Jake Brendel,MIA,JAX,2018-12-23,2018,16,Injured Reserve,Calf,,
Jake Brendel,MIA,BUF,2018-12-30,2018,17,Injured Reserve,Calf,,
Jake Brendel,SFO,ARI,2020-09-13,2020,1,Injured Reserve,,,
Jake Brendel,SFO,NYJ,2020-09-20,2020,2,Injured Reserve,,,
Jake Brendel,SFO,NYG,2020-09-27,2020,3,Injured Reserve,,,
Jake Brendel,SFO,PHI,2020-10-04,2020,4,Injured Reserve,,,
Jake Brendel,SFO,MIA,2020-10-11,2020,5,Injured Reserve,,,
Jake Brendel,SFO,LAR,2020-10-18,2020,6,Injured Reserve,,,
Jake Brendel,SFO,NWE,2020-10-25,2020,7,Injured Reserve,,,
Jake Brendel,SFO,SEA,2020-11-01,2020,8,Injured Reserve,,,
Jake Brendel,SFO,GNB,2020-11-05,2020,9,Injured Reserve,,,
Jake Brendel,SFO,NOR,2020-11-15,2020,10,Injured Reserve,,,
Jake Brendel,SFO,LAR,2020-11-29,2020,12,Injured Reserve,,,
Jake Brendel,SFO,BUF,2020-12-07,2020,13,Injured Reserve,,,
Jake Brendel,SFO,WAS,2020-12-13,2020,14,Injured Reserve,,,
Jake Brendel,SFO,DAL,2020-12-20,2020,15,Injured Reserve,,,
Jake Brendel,SFO,ARI,2020-12-26,2020,16,Injured Reserve,,,
Jake Brendel,SFO,SEA,2021-01-03,2020,17,Injured Reserve,,,
