Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jake Butt,DEN,LAC,2017-09-11,2017,1,Injured Reserve,Knee,,
Jake Butt,DEN,DAL,2017-09-17,2017,2,Injured Reserve,Knee,,
Jake Butt,DEN,BUF,2017-09-24,2017,3,Injured Reserve,Knee,,
Jake Butt,DEN,OAK,2017-10-01,2017,4,Injured Reserve,Knee,,
Jake Butt,DEN,NYG,2017-10-15,2017,6,Injured Reserve,Knee,,
Jake Butt,DEN,LAC,2017-10-22,2017,7,Injured Reserve,Knee,,
Jake Butt,DEN,KAN,2017-10-30,2017,8,Injured Reserve,Knee,,
Jake Butt,DEN,PHI,2017-11-05,2017,9,Injured Reserve,Knee,,
Jake Butt,DEN,NWE,2017-11-12,2017,10,Injured Reserve,Knee,,
Jake Butt,DEN,CIN,2017-11-19,2017,11,Injured Reserve,Knee,,
Jake Butt,DEN,OAK,2017-11-26,2017,12,Injured Reserve,Knee,,
Jake Butt,DEN,MIA,2017-12-03,2017,13,Injured Reserve,Knee,,
Jake Butt,DEN,NYJ,2017-12-10,2017,14,Injured Reserve,Knee,,
Jake Butt,DEN,IND,2017-12-14,2017,15,Injured Reserve,Knee,,
Jake Butt,DEN,WAS,2017-12-24,2017,16,Injured Reserve,Knee,,
Jake Butt,DEN,KAN,2017-12-31,2017,17,Injured Reserve,Knee,,
Jake Butt,DEN,KAN,2018-10-01,2018,4,Injured Reserve,Knee,,
Jake Butt,DEN,NYJ,2018-10-07,2018,5,Injured Reserve,Knee,,
Jake Butt,DEN,LAR,2018-10-14,2018,6,Injured Reserve,Knee,,
Jake Butt,DEN,ARI,2018-10-18,2018,7,Injured Reserve,Knee,,
Jake Butt,DEN,KAN,2018-10-28,2018,8,Injured Reserve,Knee,,
Jake Butt,DEN,HOU,2018-11-04,2018,9,Injured Reserve,Knee,,
Jake Butt,DEN,LAC,2018-11-18,2018,11,Injured Reserve,Knee,,
Jake Butt,DEN,PIT,2018-11-25,2018,12,Injured Reserve,Knee,,
Jake Butt,DEN,CIN,2018-12-02,2018,13,Injured Reserve,Knee,,
Jake Butt,DEN,SFO,2018-12-09,2018,14,Injured Reserve,Knee,,
Jake Butt,DEN,CLE,2018-12-15,2018,15,Injured Reserve,Knee,,
Jake Butt,DEN,OAK,2018-12-24,2018,16,Injured Reserve,Knee,,
Jake Butt,DEN,LAC,2018-12-30,2018,17,Injured Reserve,Knee,,
Jake Butt,DEN,OAK,2019-09-09,2019,1,Injured Reserve,,,
Jake Butt,DEN,CHI,2019-09-15,2019,2,Injured Reserve,,,
Jake Butt,DEN,GNB,2019-09-22,2019,3,Injured Reserve,,,
Jake Butt,DEN,JAX,2019-09-29,2019,4,Injured Reserve,,,
Jake Butt,DEN,LAC,2019-10-06,2019,5,Injured Reserve,,,
Jake Butt,DEN,TEN,2019-10-13,2019,6,Injured Reserve,,,
Jake Butt,DEN,KAN,2019-10-17,2019,7,Injured Reserve,,,
Jake Butt,DEN,IND,2019-10-27,2019,8,Injured Reserve,,,
Jake Butt,DEN,CLE,2019-11-03,2019,9,Injured Reserve,,,
Jake Butt,DEN,MIN,2019-11-17,2019,11,Injured Reserve,,,
Jake Butt,DEN,BUF,2019-11-24,2019,12,Injured Reserve,,,
Jake Butt,DEN,LAC,2019-12-01,2019,13,Injured Reserve,,,
Jake Butt,DEN,HOU,2019-12-08,2019,14,Injured Reserve,,,
Jake Butt,DEN,KAN,2019-12-15,2019,15,Injured Reserve,,,
Jake Butt,DEN,DET,2019-12-22,2019,16,Injured Reserve,,,
Jake Butt,DEN,OAK,2019-12-29,2019,17,Injured Reserve,,,
Jake Butt,DEN,KAN,2020-10-25,2020,7,Questionable,Hamstring,,
Jake Butt,DEN,LAC,2020-11-01,2020,8,Questionable,Hamstring,,
Jake Butt,DEN,LVR,2020-11-15,2020,10,Injured Reserve,,,
