Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jake Fisher,CIN,DAL,2016-10-09,2016,5,Questionable,back,,
Jake Fisher,CIN,TEN,2017-11-12,2017,10,Injured Reserve,Heart,,
Jake Fisher,CIN,DEN,2017-11-19,2017,11,Injured Reserve,Heart,,
Jake Fisher,CIN,CLE,2017-11-26,2017,12,Injured Reserve,Heart,,
Jake Fisher,CIN,PIT,2017-12-04,2017,13,Injured Reserve,Heart,,
Jake Fisher,CIN,CHI,2017-12-10,2017,14,Injured Reserve,Heart,,
Jake Fisher,CIN,MIN,2017-12-17,2017,15,Injured Reserve,Heart,,
Jake Fisher,CIN,DET,2017-12-24,2017,16,Injured Reserve,Heart,,
Jake Fisher,CIN,BAL,2017-12-31,2017,17,Injured Reserve,Heart,,
Jake Fisher,CIN,DEN,2018-12-02,2018,13,Injured Reserve,Back,,
Jake Fisher,CIN,LAC,2018-12-09,2018,14,Injured Reserve,Back,,
Jake Fisher,CIN,OAK,2018-12-16,2018,15,Injured Reserve,Back,,
Jake Fisher,CIN,CLE,2018-12-23,2018,16,Injured Reserve,Back,,
Jake Fisher,CIN,PIT,2018-12-30,2018,17,Injured Reserve,Back,,
