Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jakob Johnson,NWE,NYJ,2019-10-21,2019,7,Injured Reserve,,,
Jakob Johnson,NWE,CLE,2019-10-27,2019,8,Injured Reserve,,,
Jakob Johnson,NWE,BAL,2019-11-03,2019,9,Injured Reserve,,,
Jakob Johnson,NWE,PHI,2019-11-17,2019,11,Injured Reserve,,,
Jakob Johnson,NWE,DAL,2019-11-24,2019,12,Injured Reserve,,,
Jakob Johnson,NWE,HOU,2019-12-01,2019,13,Injured Reserve,,,
Jakob Johnson,NWE,KAN,2019-12-08,2019,14,Injured Reserve,,,
Jakob Johnson,NWE,CIN,2019-12-15,2019,15,Injured Reserve,,,
Jakob Johnson,NWE,BUF,2019-12-21,2019,16,Injured Reserve,,,
Jakob Johnson,NWE,MIA,2019-12-29,2019,17,Injured Reserve,,,
Jakob Johnson,NWE,LAC,2020-12-06,2020,13,Questionable,Knee,,
Jakob Johnson,NWE,LAR,2020-12-10,2020,14,Questionable,Knee,,
