Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jamaal Charles,KAN,SDG,2016-09-11,2016,1,Doubtful,knee,,
Jamaal Charles,KAN,HOU,2016-09-18,2016,2,Doubtful,knee,,
Jamaal Charles,KAN,NYJ,2016-09-25,2016,3,Doubtful,knee,,
Jamaal Charles,KAN,PIT,2016-10-02,2016,4,Questionable,knee,,
Jamaal Charles,KAN,NOR,2016-10-23,2016,7,Questionable,knee,,
Jamaal Charles,KAN,IND,2016-10-30,2016,8,Injured Reserve,Knee,,
Jamaal Charles,KAN,JAX,2016-11-06,2016,9,Injured Reserve,Knee,,
Jamaal Charles,KAN,CAR,2016-11-13,2016,10,Injured Reserve,Knee,,
Jamaal Charles,KAN,TAM,2016-11-20,2016,11,Injured Reserve,Knee,,
Jamaal Charles,KAN,DEN,2016-11-27,2016,12,Injured Reserve,Knee,,
Jamaal Charles,KAN,ATL,2016-12-04,2016,13,Injured Reserve,Knee,,
Jamaal Charles,KAN,OAK,2016-12-08,2016,14,Injured Reserve,Knee,,
Jamaal Charles,KAN,TEN,2016-12-18,2016,15,Injured Reserve,Knee,,
Jamaal Charles,KAN,DEN,2016-12-25,2016,16,Injured Reserve,Knee,,
Jamaal Charles,KAN,SDG,2017-01-01,2016,17,Injured Reserve,Knee,,
