Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
James Carpenter,NYJ,NWE,2018-11-25,2018,12,Injured Reserve,Shoulder,,
James Carpenter,NYJ,TEN,2018-12-02,2018,13,Injured Reserve,Shoulder,,
James Carpenter,NYJ,BUF,2018-12-09,2018,14,Injured Reserve,Shoulder,,
James Carpenter,NYJ,HOU,2018-12-15,2018,15,Injured Reserve,Shoulder,,
James Carpenter,NYJ,GNB,2018-12-23,2018,16,Injured Reserve,Shoulder,,
James Carpenter,NYJ,NWE,2018-12-30,2018,17,Injured Reserve,Shoulder,,
James Carpenter,ATL,SEA,2019-10-27,2019,8,Out,Knee,,
James Carpenter,ATL,CAR,2019-12-08,2019,14,Out,Concussion,,
James Carpenter,ATL,SFO,2019-12-15,2019,15,Out,Concussion,,
James Carpenter,ATL,JAX,2019-12-22,2019,16,Injured Reserve,,,
James Carpenter,ATL,TAM,2019-12-29,2019,17,Injured Reserve,,,
James Carpenter,ATL,NOR,2020-12-06,2020,13,Out,Groin,,
James Carpenter,ATL,LAC,2020-12-13,2020,14,Out,Groin,,
James Carpenter,ATL,TAM,2020-12-20,2020,15,Questionable,Groin,,
James Carpenter,ATL,KAN,2020-12-27,2020,16,Out,Groin,,
