Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
James Cowser,OAK,NOR,2016-09-11,2016,1,Injured Reserve,Head,,
James Cowser,OAK,ATL,2016-09-18,2016,2,Injured Reserve,Head,,
James Cowser,OAK,TEN,2016-09-25,2016,3,Injured Reserve,Head,,
James Cowser,OAK,BAL,2016-10-02,2016,4,Injured Reserve,Head,,
James Cowser,OAK,SDG,2016-10-09,2016,5,Injured Reserve,Head,,
James Cowser,OAK,KAN,2016-10-16,2016,6,Injured Reserve,Head,,
James Cowser,OAK,JAX,2016-10-23,2016,7,Injured Reserve,Head,,
James Cowser,OAK,TAM,2016-10-30,2016,8,Injured Reserve,Head,,
James Cowser,OAK,DEN,2016-11-06,2016,9,Injured Reserve,Head,,
James Cowser,OAK,HOU,2016-11-21,2016,11,Injured Reserve,Head,,
