Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
James Wright,CLE,PIT,2017-09-10,2017,1,Injured Reserve,Lung,,
James Wright,CLE,BAL,2017-09-17,2017,2,Injured Reserve,Lung,,
James Wright,CLE,IND,2017-09-24,2017,3,Injured Reserve,Lung,,
James Wright,CLE,CIN,2017-10-01,2017,4,Injured Reserve,Lung,,
James Wright,CLE,NYJ,2017-10-08,2017,5,Injured Reserve,Lung,,
James Wright,CLE,HOU,2017-10-15,2017,6,Injured Reserve,Lung,,
James Wright,CLE,TEN,2017-10-22,2017,7,Injured Reserve,Lung,,
James Wright,CLE,MIN,2017-10-29,2017,8,Injured Reserve,Lung,,
James Wright,CLE,DET,2017-11-12,2017,10,Injured Reserve,Lung,,
James Wright,CLE,JAX,2017-11-19,2017,11,Injured Reserve,Lung,,
James Wright,CLE,CIN,2017-11-26,2017,12,Injured Reserve,Lung,,
James Wright,CLE,LAC,2017-12-03,2017,13,Injured Reserve,Lung,,
James Wright,CLE,GNB,2017-12-10,2017,14,Injured Reserve,Lung,,
James Wright,CLE,BAL,2017-12-17,2017,15,Injured Reserve,Lung,,
James Wright,CLE,CHI,2017-12-24,2017,16,Injured Reserve,Lung,,
James Wright,CLE,PIT,2017-12-31,2017,17,Injured Reserve,Lung,,
James Wright,IND,WAS,2018-09-16,2018,2,Injured Reserve,Knee,,
James Wright,IND,PHI,2018-09-23,2018,3,Injured Reserve,Knee,,
James Wright,IND,HOU,2018-09-30,2018,4,Injured Reserve,Knee,,
James Wright,IND,NWE,2018-10-04,2018,5,Injured Reserve,Knee,,
James Wright,IND,NYJ,2018-10-14,2018,6,Injured Reserve,Knee,,
James Wright,IND,BUF,2018-10-21,2018,7,Injured Reserve,Knee,,
James Wright,IND,OAK,2018-10-28,2018,8,Injured Reserve,Knee,,
James Wright,IND,JAX,2018-11-11,2018,10,Injured Reserve,Knee,,
James Wright,IND,TEN,2018-11-18,2018,11,Injured Reserve,Knee,,
James Wright,IND,MIA,2018-11-25,2018,12,Injured Reserve,Knee,,
James Wright,IND,JAX,2018-12-02,2018,13,Injured Reserve,Knee,,
James Wright,IND,HOU,2018-12-09,2018,14,Injured Reserve,Knee,,
James Wright,IND,DAL,2018-12-16,2018,15,Injured Reserve,Knee,,
James Wright,IND,NYG,2018-12-23,2018,16,Injured Reserve,Knee,,
James Wright,IND,TEN,2018-12-30,2018,17,Injured Reserve,Knee,,
