Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Janoris Jenkins,NYG,PHI,2016-12-22,2016,16,Questionable,back,,
Janoris Jenkins,NYG,WAS,2017-01-01,2016,17,Questionable,back,,
Janoris Jenkins,NYG,PHI,2017-09-24,2017,3,Questionable,Ankle,,
Janoris Jenkins,NYG,OAK,2017-12-03,2017,13,Injured Reserve,Ankle,,
Janoris Jenkins,NYG,DAL,2017-12-10,2017,14,Injured Reserve,Ankle,,
Janoris Jenkins,NYG,PHI,2017-12-17,2017,15,Injured Reserve,Ankle,,
Janoris Jenkins,NYG,ARI,2017-12-24,2017,16,Injured Reserve,Ankle,,
Janoris Jenkins,NYG,WAS,2017-12-31,2017,17,Injured Reserve,Ankle,,
Janoris Jenkins,NOR,DET,2020-10-04,2020,4,Out,Shoulder,,
Janoris Jenkins,NOR,LAC,2020-10-12,2020,5,Out,Shoulder,,
Janoris Jenkins,NOR,ATL,2020-12-06,2020,13,Out,Knee,,
