Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jason Spriggs,GNB,ATL,2017-09-17,2017,2,Injured Reserve,Hamstring,,
Jason Spriggs,GNB,CIN,2017-09-24,2017,3,Injured Reserve,Hamstring,,
Jason Spriggs,GNB,CHI,2017-09-28,2017,4,Injured Reserve,Hamstring,,
Jason Spriggs,GNB,DAL,2017-10-08,2017,5,Injured Reserve,Hamstring,,
Jason Spriggs,GNB,MIN,2017-10-15,2017,6,Injured Reserve,Hamstring,,
Jason Spriggs,GNB,NOR,2017-10-22,2017,7,Injured Reserve,Hamstring,,
Jason Spriggs,GNB,DET,2017-11-06,2017,9,Injured Reserve,Hamstring,,
Jason Spriggs,GNB,CHI,2017-11-12,2017,10,Injured Reserve,Hamstring,,
Jason Spriggs,GNB,CAR,2017-12-17,2017,15,Questionable,Hip,,
Jason Spriggs,GNB,DET,2017-12-31,2017,17,Injured Reserve,Hamstring,,
Jason Spriggs,GNB,SFO,2018-10-15,2018,6,Questionable,Ankle,,
Jason Spriggs,GNB,LAR,2018-10-28,2018,8,Questionable,Ankle,,
Jason Spriggs,GNB,NYJ,2018-12-23,2018,16,Doubtful,Concussion,,
Jason Spriggs,GNB,DET,2018-12-30,2018,17,Doubtful,Concussion,,
Jason Spriggs,GNB,CHI,2019-09-05,2019,1,Injured Reserve,,,
Jason Spriggs,GNB,MIN,2019-09-15,2019,2,Injured Reserve,,,
Jason Spriggs,GNB,DEN,2019-09-22,2019,3,Injured Reserve,,,
Jason Spriggs,GNB,PHI,2019-09-26,2019,4,Injured Reserve,,,
Jason Spriggs,GNB,DAL,2019-10-06,2019,5,Injured Reserve,,,
Jason Spriggs,GNB,DET,2019-10-14,2019,6,Injured Reserve,,,
Jason Spriggs,GNB,OAK,2019-10-20,2019,7,Injured Reserve,,,
Jason Spriggs,GNB,KAN,2019-10-27,2019,8,Injured Reserve,,,
Jason Spriggs,GNB,LAC,2019-11-03,2019,9,Injured Reserve,,,
Jason Spriggs,GNB,CAR,2019-11-10,2019,10,Injured Reserve,,,
Jason Spriggs,GNB,SFO,2019-11-24,2019,12,Injured Reserve,,,
Jason Spriggs,GNB,NYG,2019-12-01,2019,13,Injured Reserve,,,
Jason Spriggs,GNB,WAS,2019-12-08,2019,14,Injured Reserve,,,
Jason Spriggs,GNB,CHI,2019-12-15,2019,15,Injured Reserve,,,
Jason Spriggs,GNB,MIN,2019-12-23,2019,16,Injured Reserve,,,
Jason Spriggs,GNB,DET,2019-12-29,2019,17,Injured Reserve,,,
Jason Spriggs,CHI,DET,2020-09-13,2020,1,Questionable,Knee,,
Jason Spriggs,CHI,LAR,2020-10-26,2020,7,Questionable,Thumb,,
Jason Spriggs,CHI,TEN,2020-11-08,2020,9,C19,,,
Jason Spriggs,CHI,MIN,2020-11-16,2020,10,C19,,,
