Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jason Verrett,LAC,OAK,2016-10-09,2016,5,Injured Reserve,Knee,,
Jason Verrett,LAC,DEN,2016-10-13,2016,6,Injured Reserve,Knee,,
Jason Verrett,LAC,ATL,2016-10-23,2016,7,Injured Reserve,Knee,,
Jason Verrett,LAC,DEN,2016-10-30,2016,8,Injured Reserve,Knee,,
Jason Verrett,LAC,TEN,2016-11-06,2016,9,Injured Reserve,Knee,,
Jason Verrett,LAC,MIA,2016-11-13,2016,10,Injured Reserve,Knee,,
Jason Verrett,LAC,HOU,2016-11-27,2016,12,Injured Reserve,Knee,,
Jason Verrett,LAC,TAM,2016-12-04,2016,13,Injured Reserve,Knee,,
Jason Verrett,LAC,CAR,2016-12-11,2016,14,Injured Reserve,Knee,,
Jason Verrett,LAC,OAK,2016-12-18,2016,15,Injured Reserve,Knee,,
Jason Verrett,LAC,CLE,2016-12-24,2016,16,Injured Reserve,Knee,,
Jason Verrett,LAC,KAN,2017-01-01,2016,17,Injured Reserve,Knee,,
Jason Verrett,LAC,MIA,2017-09-17,2017,2,Out,Knee,,
Jason Verrett,LAC,KAN,2017-09-24,2017,3,Out,Knee,,
Jason Verrett,LAC,PHI,2017-10-01,2017,4,Injured Reserve,Knee,,
Jason Verrett,LAC,NYG,2017-10-08,2017,5,Injured Reserve,Knee,,
Jason Verrett,LAC,OAK,2017-10-15,2017,6,Injured Reserve,Knee,,
Jason Verrett,LAC,DEN,2017-10-22,2017,7,Injured Reserve,Knee,,
Jason Verrett,LAC,NWE,2017-10-29,2017,8,Injured Reserve,Knee,,
Jason Verrett,LAC,JAX,2017-11-12,2017,10,Injured Reserve,Knee,,
Jason Verrett,LAC,BUF,2017-11-19,2017,11,Injured Reserve,Knee,,
Jason Verrett,LAC,DAL,2017-11-23,2017,12,Injured Reserve,Knee,,
Jason Verrett,LAC,CLE,2017-12-03,2017,13,Injured Reserve,Knee,,
Jason Verrett,LAC,WAS,2017-12-10,2017,14,Injured Reserve,Knee,,
Jason Verrett,LAC,KAN,2017-12-16,2017,15,Injured Reserve,Knee,,
Jason Verrett,LAC,NYJ,2017-12-24,2017,16,Injured Reserve,Knee,,
Jason Verrett,LAC,OAK,2017-12-31,2017,17,Injured Reserve,Knee,,
Jason Verrett,LAC,KAN,2018-09-09,2018,1,Injured Reserve,Achilles,,
Jason Verrett,LAC,BUF,2018-09-16,2018,2,Injured Reserve,Achilles,,
Jason Verrett,LAC,LAR,2018-09-23,2018,3,Injured Reserve,Achilles,,
Jason Verrett,LAC,SFO,2018-09-30,2018,4,Injured Reserve,Achilles,,
Jason Verrett,LAC,OAK,2018-10-07,2018,5,Injured Reserve,Achilles,,
Jason Verrett,LAC,CLE,2018-10-14,2018,6,Injured Reserve,Achilles,,
Jason Verrett,LAC,TEN,2018-10-21,2018,7,Injured Reserve,Achilles,,
Jason Verrett,LAC,SEA,2018-11-04,2018,9,Injured Reserve,Achilles,,
Jason Verrett,LAC,OAK,2018-11-11,2018,10,Injured Reserve,Achilles,,
Jason Verrett,LAC,DEN,2018-11-18,2018,11,Injured Reserve,Achilles,,
Jason Verrett,LAC,ARI,2018-11-25,2018,12,Injured Reserve,Achilles,,
Jason Verrett,LAC,PIT,2018-12-02,2018,13,Injured Reserve,Achilles,,
Jason Verrett,LAC,CIN,2018-12-09,2018,14,Injured Reserve,Achilles,,
Jason Verrett,LAC,KAN,2018-12-13,2018,15,Injured Reserve,Achilles,,
Jason Verrett,LAC,BAL,2018-12-22,2018,16,Injured Reserve,Achilles,,
Jason Verrett,LAC,DEN,2018-12-30,2018,17,Injured Reserve,Achilles,,
Jason Verrett,SFO,TAM,2019-09-08,2019,1,Questionable,Ankle,,
Jason Verrett,SFO,CLE,2019-10-07,2019,5,Injured Reserve,,,
Jason Verrett,SFO,LAR,2019-10-13,2019,6,Injured Reserve,,,
Jason Verrett,SFO,WAS,2019-10-20,2019,7,Injured Reserve,,,
Jason Verrett,SFO,CAR,2019-10-27,2019,8,Injured Reserve,,,
Jason Verrett,SFO,ARI,2019-10-31,2019,9,Injured Reserve,,,
Jason Verrett,SFO,SEA,2019-11-11,2019,10,Injured Reserve,,,
Jason Verrett,SFO,ARI,2019-11-17,2019,11,Injured Reserve,,,
Jason Verrett,SFO,GNB,2019-11-24,2019,12,Injured Reserve,,,
Jason Verrett,SFO,BAL,2019-12-01,2019,13,Injured Reserve,,,
Jason Verrett,SFO,NOR,2019-12-08,2019,14,Injured Reserve,,,
Jason Verrett,SFO,ATL,2019-12-15,2019,15,Injured Reserve,,,
Jason Verrett,SFO,LAR,2019-12-21,2019,16,Injured Reserve,,,
Jason Verrett,SFO,SEA,2019-12-29,2019,17,Injured Reserve,,,
Jason Verrett,SFO,ARI,2020-09-13,2020,1,Out,Hamstring,,
Jason Verrett,SFO,NYJ,2020-09-20,2020,2,Out,Hamstring,,
