Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jaydon Mickens,JAX,HOU,2018-10-21,2018,7,Injured Reserve,Ankle,,
Jaydon Mickens,JAX,PHI,2018-10-28,2018,8,Injured Reserve,Ankle,,
Jaydon Mickens,JAX,IND,2018-11-11,2018,10,Injured Reserve,Ankle,,
Jaydon Mickens,JAX,PIT,2018-11-18,2018,11,Injured Reserve,Ankle,,
Jaydon Mickens,JAX,BUF,2018-11-25,2018,12,Injured Reserve,Ankle,,
Jaydon Mickens,JAX,IND,2018-12-02,2018,13,Injured Reserve,Ankle,,
Jaydon Mickens,JAX,TEN,2018-12-06,2018,14,Injured Reserve,Ankle,,
Jaydon Mickens,JAX,WAS,2018-12-16,2018,15,Injured Reserve,Ankle,,
Jaydon Mickens,JAX,MIA,2018-12-23,2018,16,Injured Reserve,Ankle,,
Jaydon Mickens,JAX,HOU,2018-12-30,2018,17,Injured Reserve,Ankle,,
Jaydon Mickens,TAM,CAR,2020-11-15,2020,10,C19,,,
Jaydon Mickens,TAM,LAR,2020-11-23,2020,11,C19,,,
Jaydon Mickens,TAM,KAN,2020-11-29,2020,12,C19,,,
