Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jayson DiManche,SFO,CAR,2017-09-10,2017,1,Injured Reserve,Hamstring,,
Jayson DiManche,SFO,SEA,2017-09-17,2017,2,Injured Reserve,Hamstring,,
Jayson DiManche,SFO,LAR,2017-09-21,2017,3,Injured Reserve,Hamstring,,
Jayson DiManche,SFO,ARI,2017-10-01,2017,4,Injured Reserve,Hamstring,,
Jayson DiManche,SFO,IND,2017-10-08,2017,5,Injured Reserve,Hamstring,,
Jayson DiManche,SFO,WAS,2017-10-15,2017,6,Injured Reserve,Hamstring,,
Jayson DiManche,SFO,DAL,2017-10-22,2017,7,Injured Reserve,Hamstring,,
Jayson DiManche,SFO,PHI,2017-10-29,2017,8,Injured Reserve,Hamstring,,
Jayson DiManche,SFO,ARI,2017-11-05,2017,9,Injured Reserve,Hamstring,,
Jayson DiManche,SFO,NYG,2017-11-12,2017,10,Injured Reserve,Hamstring,,
Jayson DiManche,SFO,SEA,2017-11-26,2017,12,Injured Reserve,Hamstring,,
Jayson DiManche,SFO,CHI,2017-12-03,2017,13,Injured Reserve,Hamstring,,
Jayson DiManche,SFO,HOU,2017-12-10,2017,14,Injured Reserve,Hamstring,,
Jayson DiManche,SFO,TEN,2017-12-17,2017,15,Injured Reserve,Hamstring,,
Jayson DiManche,SFO,JAX,2017-12-24,2017,16,Injured Reserve,Hamstring,,
Jayson DiManche,SFO,LAR,2017-12-31,2017,17,Injured Reserve,Hamstring,,
