Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jerald Hawkins,PIT,WAS,2016-09-12,2016,1,Injured Reserve,Shoulder,,
Jerald Hawkins,PIT,CIN,2016-09-18,2016,2,Injured Reserve,Shoulder,,
Jerald Hawkins,PIT,PHI,2016-09-25,2016,3,Injured Reserve,Shoulder,,
Jerald Hawkins,PIT,KAN,2016-10-02,2016,4,Injured Reserve,Shoulder,,
Jerald Hawkins,PIT,NYJ,2016-10-09,2016,5,Injured Reserve,Shoulder,,
Jerald Hawkins,PIT,MIA,2016-10-16,2016,6,Injured Reserve,Shoulder,,
Jerald Hawkins,PIT,NWE,2016-10-23,2016,7,Injured Reserve,Shoulder,,
Jerald Hawkins,PIT,BAL,2016-11-06,2016,9,Injured Reserve,Shoulder,,
Jerald Hawkins,PIT,DAL,2016-11-13,2016,10,Injured Reserve,Shoulder,,
Jerald Hawkins,PIT,CLE,2016-11-20,2016,11,Injured Reserve,Shoulder,,
Jerald Hawkins,PIT,IND,2016-11-24,2016,12,Injured Reserve,Shoulder,,
Jerald Hawkins,PIT,NYG,2016-12-04,2016,13,Injured Reserve,Shoulder,,
Jerald Hawkins,PIT,BUF,2016-12-11,2016,14,Injured Reserve,Shoulder,,
Jerald Hawkins,PIT,CIN,2016-12-18,2016,15,Injured Reserve,Shoulder,,
Jerald Hawkins,PIT,BAL,2016-12-25,2016,16,Injured Reserve,Shoulder,,
Jerald Hawkins,PIT,CLE,2017-01-01,2016,17,Injured Reserve,Shoulder,,
Jerald Hawkins,PIT,CLE,2017-09-10,2017,1,Out,Knee,,
Jerald Hawkins,PIT,MIN,2017-09-17,2017,2,Out,Knee,,
Jerald Hawkins,PIT,CHI,2017-09-24,2017,3,Questionable,Knee,,
Jerald Hawkins,PIT,CLE,2018-09-09,2018,1,Injured Reserve,Knee,,
Jerald Hawkins,PIT,KAN,2018-09-16,2018,2,Injured Reserve,Knee,,
Jerald Hawkins,PIT,TAM,2018-09-24,2018,3,Injured Reserve,Knee,,
Jerald Hawkins,PIT,BAL,2018-09-30,2018,4,Injured Reserve,Knee,,
Jerald Hawkins,PIT,ATL,2018-10-07,2018,5,Injured Reserve,Knee,,
Jerald Hawkins,PIT,CIN,2018-10-14,2018,6,Injured Reserve,Knee,,
Jerald Hawkins,PIT,CLE,2018-10-28,2018,8,Injured Reserve,Knee,,
Jerald Hawkins,PIT,BAL,2018-11-04,2018,9,Injured Reserve,Knee,,
Jerald Hawkins,PIT,CAR,2018-11-08,2018,10,Injured Reserve,Knee,,
Jerald Hawkins,PIT,JAX,2018-11-18,2018,11,Injured Reserve,Knee,,
Jerald Hawkins,PIT,DEN,2018-11-25,2018,12,Injured Reserve,Knee,,
Jerald Hawkins,PIT,LAC,2018-12-02,2018,13,Injured Reserve,Knee,,
Jerald Hawkins,PIT,OAK,2018-12-09,2018,14,Injured Reserve,Knee,,
Jerald Hawkins,PIT,NWE,2018-12-16,2018,15,Injured Reserve,Knee,,
Jerald Hawkins,PIT,NOR,2018-12-23,2018,16,Injured Reserve,Knee,,
Jerald Hawkins,PIT,CIN,2018-12-30,2018,17,Injured Reserve,Knee,,
Jerald Hawkins,PIT,CIN,2020-11-15,2020,10,C19,,,
Jerald Hawkins,PIT,BAL,2020-12-02,2020,12,C19,,,
Jerald Hawkins,PIT,WAS,2020-12-07,2020,13,C19,,,
