Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jimmy Smith,BAL,NYJ,2016-10-23,2016,7,Questionable,concussion,,
Jimmy Smith,BAL,DAL,2016-11-20,2016,11,Doubtful,back,,
Jimmy Smith,BAL,CIN,2016-11-27,2016,12,Doubtful,back,,
Jimmy Smith,BAL,MIA,2016-12-04,2016,13,Questionable,back,,
Jimmy Smith,BAL,PHI,2016-12-18,2016,15,Injured Reserve,Ankle,,
Jimmy Smith,BAL,PIT,2016-12-25,2016,16,Injured Reserve,Ankle,,
Jimmy Smith,BAL,CIN,2017-01-01,2016,17,Injured Reserve,Ankle,,
Jimmy Smith,BAL,OAK,2017-10-08,2017,5,Questionable,Achilles,,
Jimmy Smith,BAL,CHI,2017-10-15,2017,6,Questionable,Achilles,,
Jimmy Smith,BAL,MIN,2017-10-22,2017,7,Questionable,Achilles,,
Jimmy Smith,BAL,MIA,2017-10-26,2017,8,Questionable,Achilles,,
Jimmy Smith,BAL,TEN,2017-11-05,2017,9,Questionable,Achilles,,
Jimmy Smith,BAL,GNB,2017-11-19,2017,11,Questionable,Achilles,,
Jimmy Smith,BAL,HOU,2017-11-27,2017,12,Questionable,Achilles,,
Jimmy Smith,BAL,DET,2017-12-03,2017,13,Questionable,Achilles,,
Jimmy Smith,BAL,PIT,2017-12-10,2017,14,Injured Reserve,Achilles,,
Jimmy Smith,BAL,CLE,2017-12-17,2017,15,Injured Reserve,Achilles,,
Jimmy Smith,BAL,IND,2017-12-23,2017,16,Injured Reserve,Achilles,,
Jimmy Smith,BAL,CIN,2017-12-31,2017,17,Injured Reserve,Achilles,,
Jimmy Smith,BAL,CAR,2018-10-28,2018,8,Questionable,Groin,,
Jimmy Smith,BAL,ARI,2019-09-15,2019,2,Out,Knee,,
Jimmy Smith,BAL,KAN,2019-09-22,2019,3,Out,Knee,,
Jimmy Smith,BAL,CLE,2019-09-29,2019,4,Out,Knee,,
Jimmy Smith,BAL,PIT,2019-10-06,2019,5,Out,Knee,,
Jimmy Smith,BAL,CIN,2019-10-13,2019,6,Out,Knee,,
Jimmy Smith,BAL,SEA,2019-10-20,2019,7,Doubtful,Knee,,
Jimmy Smith,BAL,NWE,2019-11-03,2019,9,Questionable,Knee,,
Jimmy Smith,BAL,PIT,2019-12-29,2019,17,Questionable,Groin,,
Jimmy Smith,BAL,HOU,2020-09-20,2020,2,Questionable,Hip,,
Jimmy Smith,BAL,WAS,2020-10-04,2020,4,Questionable,Knee,,
Jimmy Smith,BAL,CIN,2020-10-11,2020,5,Questionable,Knee,,
Jimmy Smith,BAL,PHI,2020-10-18,2020,6,Questionable,Knee,,
Jimmy Smith,BAL,PIT,2020-11-01,2020,8,Questionable,Achilles,,
Jimmy Smith,BAL,IND,2020-11-08,2020,9,Questionable,Back,,
Jimmy Smith,BAL,NWE,2020-11-15,2020,10,Doubtful,Ankle,,
Jimmy Smith,BAL,TEN,2020-11-22,2020,11,Questionable,Ankle,,
Jimmy Smith,BAL,PIT,2020-12-02,2020,12,Questionable,Ankle,,
Jimmy Smith,BAL,DAL,2020-12-08,2020,13,Questionable,Groin,,
Jimmy Smith,BAL,CLE,2020-12-14,2020,14,Questionable,Groin,,
Jimmy Smith,BAL,JAX,2020-12-20,2020,15,Out,Ribs,,
Jimmy Smith,BAL,NYG,2020-12-27,2020,16,Out,Ribs,,
Jimmy Smith,BAL,CIN,2021-01-03,2020,17,Questionable,Ribs,,
