Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Joe Barksdale,LAC,NOR,2016-10-02,2016,4,Questionable,foot,,
Joe Barksdale,LAC,OAK,2016-10-09,2016,5,Questionable,foot,,
Joe Barksdale,LAC,DEN,2016-10-13,2016,6,Questionable,foot,,
Joe Barksdale,LAC,KAN,2017-09-24,2017,3,Questionable,Foot,,
Joe Barksdale,LAC,PHI,2017-10-01,2017,4,Questionable,Foot,,
Joe Barksdale,LAC,NYG,2017-10-08,2017,5,Questionable,Foot,,
Joe Barksdale,LAC,OAK,2017-10-15,2017,6,Questionable,Foot,,
Joe Barksdale,LAC,DEN,2017-10-22,2017,7,Questionable,Foot,,
Joe Barksdale,LAC,NWE,2017-10-29,2017,8,Doubtful,Foot,,
Joe Barksdale,LAC,JAX,2017-11-12,2017,10,Questionable,Foot,,
Joe Barksdale,LAC,BUF,2017-11-19,2017,11,Out,Foot,,
Joe Barksdale,LAC,DAL,2017-11-23,2017,12,Questionable,Foot,,
Joe Barksdale,LAC,NYJ,2017-12-24,2017,16,Questionable,Hip,,
Joe Barksdale,LAC,BUF,2018-09-16,2018,2,Out,Knee,,
Joe Barksdale,LAC,LAR,2018-09-23,2018,3,Out,Knee,,
Joe Barksdale,LAC,SFO,2018-09-30,2018,4,Out,Knee,,
Joe Barksdale,LAC,OAK,2018-10-07,2018,5,Doubtful,Knee,,
Joe Barksdale,LAC,CLE,2018-10-14,2018,6,Questionable,Knee,,
Joe Barksdale,LAC,PIT,2018-12-02,2018,13,Out,Not Injury Related,,
