Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Joe Dahl,DET,ATL,2017-09-24,2017,3,Injured Reserve,Leg,,
Joe Dahl,DET,MIN,2017-10-01,2017,4,Injured Reserve,Leg,,
Joe Dahl,DET,CAR,2017-10-08,2017,5,Injured Reserve,Leg,,
Joe Dahl,DET,NOR,2017-10-15,2017,6,Injured Reserve,Leg,,
Joe Dahl,DET,PIT,2017-10-29,2017,8,Injured Reserve,Leg,,
Joe Dahl,DET,GNB,2017-11-06,2017,9,Injured Reserve,Leg,,
Joe Dahl,DET,CLE,2017-11-12,2017,10,Injured Reserve,Leg,,
Joe Dahl,DET,CHI,2017-11-19,2017,11,Injured Reserve,Leg,,
Joe Dahl,DET,MIN,2017-11-23,2017,12,Injured Reserve,Leg,,
Joe Dahl,DET,BAL,2017-12-03,2017,13,Injured Reserve,Leg,,
Joe Dahl,DET,CHI,2019-11-10,2019,10,Questionable,Ankle,,
Joe Dahl,DET,TAM,2019-12-15,2019,15,Injured Reserve,,,
Joe Dahl,DET,DEN,2019-12-22,2019,16,Injured Reserve,,,
Joe Dahl,DET,GNB,2019-12-29,2019,17,Injured Reserve,,,
Joe Dahl,DET,GNB,2020-09-20,2020,2,Out,Groin,,
Joe Dahl,DET,ARI,2020-09-27,2020,3,Injured Reserve,,,
Joe Dahl,DET,NOR,2020-10-04,2020,4,Injured Reserve,,,
Joe Dahl,DET,JAX,2020-10-18,2020,6,Injured Reserve,,,
Joe Dahl,DET,MIN,2020-11-08,2020,9,Questionable,Back,,
Joe Dahl,DET,WAS,2020-11-15,2020,10,Questionable,Back,,
Joe Dahl,DET,MIN,2021-01-03,2020,17,Out,Back,,
