Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Joe Flacco,BAL,NYJ,2016-10-23,2016,7,Questionable, shoulder,,
Joe Flacco,BAL,TEN,2017-11-05,2017,9,Questionable,Concussion,,
Joe Flacco,BAL,CIN,2018-11-18,2018,11,Doubtful,Hip,,
Joe Flacco,BAL,OAK,2018-11-25,2018,12,Out,Hip,,
Joe Flacco,BAL,ATL,2018-12-02,2018,13,Doubtful,Hip,,
Joe Flacco,BAL,KAN,2018-12-09,2018,14,Questionable,Hip,,
Joe Flacco,BAL,TAM,2018-12-16,2018,15,Questionable,Hip,,
Joe Flacco,DEN,CLE,2019-11-03,2019,9,Injured Reserve,,,
Joe Flacco,DEN,MIN,2019-11-17,2019,11,Injured Reserve,,,
Joe Flacco,DEN,BUF,2019-11-24,2019,12,Injured Reserve,,,
Joe Flacco,DEN,LAC,2019-12-01,2019,13,Injured Reserve,,,
Joe Flacco,DEN,HOU,2019-12-08,2019,14,Injured Reserve,,,
Joe Flacco,DEN,KAN,2019-12-15,2019,15,Injured Reserve,,,
Joe Flacco,DEN,DET,2019-12-22,2019,16,Injured Reserve,,,
Joe Flacco,DEN,OAK,2019-12-29,2019,17,Injured Reserve,,,
Joe Flacco,NYJ,BUF,2020-09-13,2020,1,Out,Neck,,
Joe Flacco,NYJ,SFO,2020-09-20,2020,2,Out,Neck,,
