Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Joe Walker,PHI,CLE,2016-09-11,2016,1,Injured Reserve,Knee,,
Joe Walker,PHI,CHI,2016-09-19,2016,2,Injured Reserve,Knee,,
Joe Walker,PHI,PIT,2016-09-25,2016,3,Injured Reserve,Knee,,
Joe Walker,PHI,DET,2016-10-09,2016,5,Injured Reserve,Knee,,
Joe Walker,PHI,WAS,2016-10-16,2016,6,Injured Reserve,Knee,,
Joe Walker,PHI,MIN,2016-10-23,2016,7,Injured Reserve,Knee,,
Joe Walker,PHI,DAL,2016-10-30,2016,8,Injured Reserve,Knee,,
Joe Walker,PHI,NYG,2016-11-06,2016,9,Injured Reserve,Knee,,
Joe Walker,PHI,ATL,2016-11-13,2016,10,Injured Reserve,Knee,,
Joe Walker,PHI,SEA,2016-11-20,2016,11,Injured Reserve,Knee,,
Joe Walker,PHI,GNB,2016-11-28,2016,12,Injured Reserve,Knee,,
Joe Walker,PHI,CIN,2016-12-04,2016,13,Injured Reserve,Knee,,
Joe Walker,PHI,WAS,2016-12-11,2016,14,Injured Reserve,Knee,,
Joe Walker,PHI,BAL,2016-12-18,2016,15,Injured Reserve,Knee,,
Joe Walker,PHI,NYG,2016-12-22,2016,16,Injured Reserve,Knee,,
Joe Walker,PHI,DAL,2017-01-01,2016,17,Injured Reserve,Knee,,
Joe Walker,PHI,SEA,2017-12-03,2017,13,Questionable,Neck,,
Joe Walker,PHI,LAR,2017-12-10,2017,14,Questionable,Neck,,
Joe Walker,PHI,DAL,2017-12-31,2017,17,Injured Reserve,Neck,,
Joe Walker,ARI,CLE,2019-12-15,2019,15,Questionable,Ribs,,
Joe Walker,SFO,LAR,2020-11-29,2020,12,C19,,,
