Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Joel Bitonio,CLE,TEN,2016-10-16,2016,6,Injured Reserve,Foot,,
Joel Bitonio,CLE,CIN,2016-10-23,2016,7,Injured Reserve,Foot,,
Joel Bitonio,CLE,NYJ,2016-10-30,2016,8,Injured Reserve,Foot,,
Joel Bitonio,CLE,DAL,2016-11-06,2016,9,Injured Reserve,Foot,,
Joel Bitonio,CLE,BAL,2016-11-10,2016,10,Injured Reserve,Foot,,
Joel Bitonio,CLE,PIT,2016-11-20,2016,11,Injured Reserve,Foot,,
Joel Bitonio,CLE,NYG,2016-11-27,2016,12,Injured Reserve,Foot,,
Joel Bitonio,CLE,CIN,2016-12-11,2016,14,Injured Reserve,Foot,,
Joel Bitonio,CLE,BUF,2016-12-18,2016,15,Injured Reserve,Foot,,
Joel Bitonio,CLE,SDG,2016-12-24,2016,16,Injured Reserve,Foot,,
Joel Bitonio,CLE,PIT,2017-01-01,2016,17,Injured Reserve,Foot,,
Joel Bitonio,CLE,NYJ,2019-09-16,2019,2,Questionable,Abdomen,,
Joel Bitonio,CLE,DAL,2020-10-04,2020,4,Questionable,Back,,
