Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Joel Heath,HOU,SEA,2017-10-29,2017,8,Out,Knee,,
Joel Heath,HOU,IND,2017-11-05,2017,9,Out,Knee,,
Joel Heath,HOU,LAR,2017-11-12,2017,10,Out,Knee,,
Joel Heath,HOU,ARI,2017-11-19,2017,11,Questionable,Knee,,
Joel Heath,DEN,TEN,2020-09-14,2020,1,Injured Reserve,,,
Joel Heath,DEN,PIT,2020-09-20,2020,2,Injured Reserve,,,
Joel Heath,DEN,TAM,2020-09-27,2020,3,Injured Reserve,,,
Joel Heath,DEN,NYJ,2020-10-01,2020,4,Injured Reserve,,,
Joel Heath,DEN,NWE,2020-10-18,2020,6,Injured Reserve,,,
Joel Heath,DEN,KAN,2020-10-25,2020,7,Injured Reserve,,,
Joel Heath,DEN,LAC,2020-11-01,2020,8,Injured Reserve,,,
Joel Heath,DEN,ATL,2020-11-08,2020,9,Injured Reserve,,,
Joel Heath,DEN,LVR,2020-11-15,2020,10,Injured Reserve,,,
Joel Heath,DEN,MIA,2020-11-22,2020,11,Injured Reserve,,,
Joel Heath,DEN,NOR,2020-11-29,2020,12,Injured Reserve,,,
Joel Heath,DEN,KAN,2020-12-06,2020,13,Injured Reserve,,,
Joel Heath,DEN,CAR,2020-12-13,2020,14,Injured Reserve,,,
Joel Heath,DEN,BUF,2020-12-19,2020,15,Injured Reserve,,,
Joel Heath,DEN,LAC,2020-12-27,2020,16,Injured Reserve,,,
Joel Heath,DEN,LVR,2021-01-03,2020,17,Injured Reserve,,,
