Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
John Lovett,KAN,JAX,2019-09-08,2019,1,Injured Reserve,,,
John Lovett,KAN,OAK,2019-09-15,2019,2,Injured Reserve,,,
John Lovett,KAN,BAL,2019-09-22,2019,3,Injured Reserve,,,
John Lovett,KAN,DET,2019-09-29,2019,4,Injured Reserve,,,
John Lovett,KAN,IND,2019-10-06,2019,5,Injured Reserve,,,
John Lovett,KAN,HOU,2019-10-13,2019,6,Injured Reserve,,,
John Lovett,KAN,DEN,2019-10-17,2019,7,Injured Reserve,,,
John Lovett,KAN,GNB,2019-10-27,2019,8,Injured Reserve,,,
John Lovett,KAN,MIN,2019-11-03,2019,9,Injured Reserve,,,
John Lovett,KAN,TEN,2019-11-10,2019,10,Injured Reserve,,,
John Lovett,KAN,LAC,2019-11-18,2019,11,Injured Reserve,,,
John Lovett,KAN,OAK,2019-12-01,2019,13,Injured Reserve,,,
John Lovett,KAN,NWE,2019-12-08,2019,14,Injured Reserve,,,
John Lovett,KAN,DEN,2019-12-15,2019,15,Injured Reserve,,,
John Lovett,KAN,CHI,2019-12-22,2019,16,Injured Reserve,,,
John Lovett,KAN,LAC,2019-12-29,2019,17,Injured Reserve,,,
John Lovett,GNB,MIN,2020-11-01,2020,8,Questionable,Knee,,
John Lovett,GNB,JAX,2020-11-15,2020,10,Injured Reserve,,,
John Lovett,GNB,IND,2020-11-22,2020,11,Injured Reserve,,,
John Lovett,GNB,CHI,2020-11-29,2020,12,Injured Reserve,,,
John Lovett,GNB,PHI,2020-12-06,2020,13,Injured Reserve,,,
John Lovett,GNB,DET,2020-12-13,2020,14,Injured Reserve,,,
John Lovett,GNB,CAR,2020-12-19,2020,15,Injured Reserve,,,
John Lovett,GNB,TEN,2020-12-27,2020,16,Injured Reserve,,,
John Lovett,GNB,CHI,2021-01-03,2020,17,Injured Reserve,,,
