Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Johnathan Cyprien,TEN,JAX,2017-09-17,2017,2,Out,Hamstring,,
Johnathan Cyprien,TEN,SEA,2017-09-24,2017,3,Out,Hamstring,,
Johnathan Cyprien,TEN,HOU,2017-10-01,2017,4,Out,Hamstring,,
Johnathan Cyprien,TEN,MIA,2017-10-08,2017,5,Out,Hamstring,,
Johnathan Cyprien,TEN,IND,2017-10-16,2017,6,Out,Hamstring,,
Johnathan Cyprien,TEN,CLE,2017-10-22,2017,7,Out,Hamstring,,
Johnathan Cyprien,TEN,SFO,2017-12-17,2017,15,Questionable,Back,,
Johnathan Cyprien,TEN,MIA,2018-09-09,2018,1,Injured Reserve,Knee,,
Johnathan Cyprien,TEN,HOU,2018-09-16,2018,2,Injured Reserve,Knee,,
Johnathan Cyprien,TEN,JAX,2018-09-23,2018,3,Injured Reserve,Knee,,
Johnathan Cyprien,TEN,PHI,2018-09-30,2018,4,Injured Reserve,Knee,,
Johnathan Cyprien,TEN,BUF,2018-10-07,2018,5,Injured Reserve,Knee,,
Johnathan Cyprien,TEN,BAL,2018-10-14,2018,6,Injured Reserve,Knee,,
Johnathan Cyprien,TEN,LAC,2018-10-21,2018,7,Injured Reserve,Knee,,
Johnathan Cyprien,TEN,DAL,2018-11-05,2018,9,Injured Reserve,Knee,,
Johnathan Cyprien,TEN,NWE,2018-11-11,2018,10,Injured Reserve,Knee,,
Johnathan Cyprien,TEN,IND,2018-11-18,2018,11,Injured Reserve,Knee,,
Johnathan Cyprien,TEN,HOU,2018-11-26,2018,12,Injured Reserve,Knee,,
Johnathan Cyprien,TEN,NYJ,2018-12-02,2018,13,Injured Reserve,Knee,,
Johnathan Cyprien,TEN,JAX,2018-12-06,2018,14,Injured Reserve,Knee,,
Johnathan Cyprien,TEN,NYG,2018-12-16,2018,15,Injured Reserve,Knee,,
Johnathan Cyprien,TEN,WAS,2018-12-22,2018,16,Injured Reserve,Knee,,
Johnathan Cyprien,TEN,IND,2018-12-30,2018,17,Injured Reserve,Knee,,
Johnathan Cyprien,ATL,ARI,2019-10-13,2019,6,Injured Reserve,,,
Johnathan Cyprien,ATL,LAR,2019-10-20,2019,7,Injured Reserve,,,
Johnathan Cyprien,ATL,SEA,2019-10-27,2019,8,Injured Reserve,,,
Johnathan Cyprien,ATL,NOR,2019-11-10,2019,10,Injured Reserve,,,
Johnathan Cyprien,ATL,CAR,2019-11-17,2019,11,Injured Reserve,,,
Johnathan Cyprien,ATL,TAM,2019-11-24,2019,12,Injured Reserve,,,
Johnathan Cyprien,ATL,NOR,2019-11-28,2019,13,Injured Reserve,,,
Johnathan Cyprien,ATL,CAR,2019-12-08,2019,14,Injured Reserve,,,
Johnathan Cyprien,ATL,SFO,2019-12-15,2019,15,Injured Reserve,,,
Johnathan Cyprien,ATL,JAX,2019-12-22,2019,16,Injured Reserve,,,
Johnathan Cyprien,ATL,TAM,2019-12-29,2019,17,Injured Reserve,,,
Johnathan Cyprien,SFO,LAR,2020-11-29,2020,12,Injured Reserve,,,
Johnathan Cyprien,SFO,BUF,2020-12-07,2020,13,Injured Reserve,,,
Johnathan Cyprien,SFO,WAS,2020-12-13,2020,14,Injured Reserve,,,
Johnathan Cyprien,SFO,DAL,2020-12-20,2020,15,Injured Reserve,,,
