Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jordan Leggett,NYJ,OAK,2017-09-17,2017,2,Out,Knee,,
Jordan Leggett,NYJ,MIA,2017-09-24,2017,3,Doubtful,Knee,,
Jordan Leggett,NYJ,JAX,2017-10-01,2017,4,Out,Knee,,
Jordan Leggett,NYJ,MIA,2017-10-22,2017,7,Injured Reserve,Knee,,
Jordan Leggett,NYJ,ATL,2017-10-29,2017,8,Injured Reserve,Knee,,
Jordan Leggett,NYJ,BUF,2017-11-02,2017,9,Injured Reserve,Knee,,
Jordan Leggett,NYJ,TAM,2017-11-12,2017,10,Injured Reserve,Knee,,
Jordan Leggett,NYJ,CAR,2017-11-26,2017,12,Injured Reserve,Knee,,
Jordan Leggett,NYJ,KAN,2017-12-03,2017,13,Injured Reserve,Knee,,
Jordan Leggett,NYJ,DEN,2017-12-10,2017,14,Injured Reserve,Knee,,
Jordan Leggett,NYJ,NOR,2017-12-17,2017,15,Injured Reserve,Knee,,
Jordan Leggett,NYJ,LAC,2017-12-24,2017,16,Injured Reserve,Knee,,
Jordan Leggett,NYJ,NWE,2017-12-31,2017,17,Injured Reserve,Knee,,
Jordan Leggett,NYJ,BUF,2018-12-09,2018,14,Questionable,Knee,,
