Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jordan Mack,CAR,LVR,2020-09-13,2020,1,Injured Reserve,,,
Jordan Mack,CAR,TAM,2020-09-20,2020,2,Injured Reserve,,,
Jordan Mack,CAR,LAC,2020-09-27,2020,3,Injured Reserve,,,
Jordan Mack,CAR,ARI,2020-10-04,2020,4,Injured Reserve,,,
Jordan Mack,CAR,ATL,2020-10-11,2020,5,Injured Reserve,,,
Jordan Mack,CAR,CHI,2020-10-18,2020,6,Injured Reserve,,,
Jordan Mack,CAR,NOR,2020-10-25,2020,7,Injured Reserve,,,
Jordan Mack,CAR,ATL,2020-10-29,2020,8,Injured Reserve,,,
Jordan Mack,CAR,KAN,2020-11-08,2020,9,Injured Reserve,,,
Jordan Mack,CAR,TAM,2020-11-15,2020,10,Injured Reserve,,,
Jordan Mack,CAR,DET,2020-11-22,2020,11,Injured Reserve,,,
Jordan Mack,CAR,MIN,2020-11-29,2020,12,Injured Reserve,,,
Jordan Mack,CAR,DEN,2020-12-13,2020,14,Injured Reserve,,,
Jordan Mack,CAR,GNB,2020-12-19,2020,15,Injured Reserve,,,
Jordan Mack,CAR,WAS,2020-12-27,2020,16,Injured Reserve,,,
Jordan Mack,CAR,NOR,2021-01-03,2020,17,Injured Reserve,,,
