Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jordan Mailata,PHI,LAR,2018-12-16,2018,15,Injured Reserve,Back,,
Jordan Mailata,PHI,HOU,2018-12-23,2018,16,Injured Reserve,Back,,
Jordan Mailata,PHI,WAS,2018-12-30,2018,17,Injured Reserve,Back,,
Jordan Mailata,PHI,WAS,2019-09-08,2019,1,Out,Back,,
Jordan Mailata,PHI,ATL,2019-09-15,2019,2,Out,Back,,
Jordan Mailata,PHI,DET,2019-09-22,2019,3,Out,Back,,
Jordan Mailata,PHI,GNB,2019-09-26,2019,4,Injured Reserve,,,
Jordan Mailata,PHI,NYJ,2019-10-06,2019,5,Injured Reserve,,,
Jordan Mailata,PHI,MIN,2019-10-13,2019,6,Injured Reserve,,,
Jordan Mailata,PHI,DAL,2019-10-20,2019,7,Injured Reserve,,,
Jordan Mailata,PHI,BUF,2019-10-27,2019,8,Injured Reserve,,,
Jordan Mailata,PHI,CHI,2019-11-03,2019,9,Injured Reserve,,,
Jordan Mailata,PHI,NWE,2019-11-17,2019,11,Injured Reserve,,,
Jordan Mailata,PHI,SEA,2019-11-24,2019,12,Injured Reserve,,,
Jordan Mailata,PHI,MIA,2019-12-01,2019,13,Injured Reserve,,,
Jordan Mailata,PHI,NYG,2019-12-09,2019,14,Injured Reserve,,,
Jordan Mailata,PHI,WAS,2019-12-15,2019,15,Injured Reserve,,,
Jordan Mailata,PHI,DAL,2019-12-22,2019,16,Injured Reserve,,,
Jordan Mailata,PHI,NYG,2019-12-29,2019,17,Injured Reserve,,,
Jordan Mailata,PHI,WAS,2021-01-03,2020,17,Out,Concussion,,
