Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jordan Phillips,MIA,NWE,2016-09-18,2016,2,Questionable,ankle,,
Jordan Phillips,MIA,NYJ,2017-09-24,2017,3,Doubtful,Ankle,,
Jordan Phillips,MIA,NOR,2017-10-01,2017,4,Doubtful,Ankle,,
Jordan Phillips,MIA,TEN,2017-10-08,2017,5,Questionable,Ankle,,
Jordan Phillips,MIA,BAL,2017-10-26,2017,8,Questionable,Ankle,,
Jordan Phillips,MIA,BUF,2017-12-17,2017,15,Questionable,Ankle,,
Jordan Phillips,ARI,DET,2020-09-27,2020,3,Questionable,Ankle,,
Jordan Phillips,ARI,NYJ,2020-10-11,2020,5,Questionable,Illness,,
Jordan Phillips,ARI,SEA,2020-10-25,2020,7,Questionable,Foot,,
Jordan Phillips,ARI,MIA,2020-11-08,2020,9,Questionable,Hamstring,,
Jordan Phillips,ARI,BUF,2020-11-15,2020,10,Out,Hamstring,,
Jordan Phillips,ARI,SEA,2020-11-19,2020,11,Out,Hamstring,,
Jordan Phillips,ARI,NWE,2020-11-29,2020,12,Injured Reserve,,,
Jordan Phillips,ARI,LAR,2020-12-06,2020,13,Injured Reserve,,,
Jordan Phillips,ARI,NYG,2020-12-13,2020,14,Injured Reserve,,,
Jordan Phillips,ARI,PHI,2020-12-20,2020,15,Out,Hamstring,,
Jordan Phillips,ARI,SFO,2020-12-26,2020,16,Injured Reserve,,,
Jordan Phillips,ARI,LAR,2021-01-03,2020,17,Injured Reserve,,,
