Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Jordan Tripp,SEA,CAR,2016-12-04,2016,13,Injured Reserve,Thigh,,
Jordan Tripp,SEA,GNB,2016-12-11,2016,14,Injured Reserve,Thigh,,
Jordan Tripp,SEA,LAR,2016-12-15,2016,15,Injured Reserve,Thigh,,
Jordan Tripp,ATL,NWE,2017-10-22,2017,7,Injured Reserve,Concussion,,
Jordan Tripp,ATL,NYJ,2017-10-29,2017,8,Injured Reserve,Concussion,,
Jordan Tripp,ATL,CAR,2017-11-05,2017,9,Injured Reserve,Concussion,,
Jordan Tripp,ATL,DAL,2017-11-12,2017,10,Injured Reserve,Concussion,,
Jordan Tripp,ATL,SEA,2017-11-20,2017,11,Injured Reserve,Concussion,,
Jordan Tripp,ATL,TAM,2017-11-26,2017,12,Injured Reserve,Concussion,,
Jordan Tripp,ATL,MIN,2017-12-03,2017,13,Injured Reserve,Concussion,,
Jordan Tripp,ATL,NOR,2017-12-07,2017,14,Injured Reserve,Concussion,,
Jordan Tripp,ATL,TAM,2017-12-18,2017,15,Injured Reserve,Concussion,,
Jordan Tripp,ATL,NOR,2017-12-24,2017,16,Injured Reserve,Concussion,,
Jordan Tripp,ATL,CAR,2017-12-31,2017,17,Injured Reserve,Concussion,,
