Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Josh Forrest,LAR,NOR,2016-11-27,2016,12,Injured Reserve,Knee,,
Josh Forrest,LAR,NWE,2016-12-04,2016,13,Injured Reserve,Knee,,
Josh Forrest,LAR,ATL,2016-12-11,2016,14,Injured Reserve,Knee,,
Josh Forrest,LAR,SEA,2016-12-15,2016,15,Injured Reserve,Knee,,
Josh Forrest,LAR,SFO,2016-12-24,2016,16,Injured Reserve,Knee,,
Josh Forrest,LAR,ARI,2017-01-01,2016,17,Injured Reserve,Knee,,
Josh Forrest,SEA,PHI,2017-12-03,2017,13,Out,Foot,,
Josh Forrest,SEA,JAX,2017-12-10,2017,14,Injured Reserve,Foot,,
Josh Forrest,SEA,LAR,2017-12-17,2017,15,Injured Reserve,Foot,,
Josh Forrest,SEA,DAL,2017-12-24,2017,16,Injured Reserve,Foot,,
Josh Forrest,SEA,ARI,2017-12-31,2017,17,Injured Reserve,Foot,,
