Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Josh Sitton,CHI,DAL,2016-09-25,2016,3,Questionable,shoulder,,
Josh Sitton,CHI,DET,2016-10-02,2016,4,Questionable,shoulder,,
Josh Sitton,CHI,JAX,2016-10-16,2016,6,Questionable,shoulder,,
Josh Sitton,CHI,GNB,2016-10-20,2016,7,Doubtful,ankle,,
Josh Sitton,CHI,MIN,2016-10-31,2016,8,Questionable,ankle,,
Josh Sitton,CHI,NYG,2016-11-20,2016,11,Questionable,ankle,,
Josh Sitton,CHI,TEN,2016-11-27,2016,12,Doubtful,ankle,,
Josh Sitton,CHI,SFO,2016-12-04,2016,13,Questionable,ankle,,
Josh Sitton,CHI,PIT,2017-09-24,2017,3,Doubtful,Ribs,,
Josh Sitton,CHI,GNB,2017-09-28,2017,4,Questionable,Ribs,,
Josh Sitton,CHI,SFO,2017-12-03,2017,13,Questionable,Concussion,,
Josh Sitton,CHI,CLE,2017-12-24,2017,16,Doubtful,Ankle,,
Josh Sitton,CHI,MIN,2017-12-31,2017,17,Doubtful,Ankle,,
Josh Sitton,MIA,NYJ,2018-09-16,2018,2,Injured Reserve,Shoulder,,
Josh Sitton,MIA,OAK,2018-09-23,2018,3,Injured Reserve,Shoulder,,
Josh Sitton,MIA,NWE,2018-09-30,2018,4,Injured Reserve,Shoulder,,
Josh Sitton,MIA,CIN,2018-10-07,2018,5,Injured Reserve,Shoulder,,
Josh Sitton,MIA,CHI,2018-10-14,2018,6,Injured Reserve,Shoulder,,
Josh Sitton,MIA,DET,2018-10-21,2018,7,Injured Reserve,Shoulder,,
Josh Sitton,MIA,HOU,2018-10-25,2018,8,Injured Reserve,Shoulder,,
Josh Sitton,MIA,NYJ,2018-11-04,2018,9,Injured Reserve,Shoulder,,
Josh Sitton,MIA,GNB,2018-11-11,2018,10,Injured Reserve,Shoulder,,
Josh Sitton,MIA,IND,2018-11-25,2018,12,Injured Reserve,Shoulder,,
Josh Sitton,MIA,BUF,2018-12-02,2018,13,Injured Reserve,Shoulder,,
Josh Sitton,MIA,NWE,2018-12-09,2018,14,Injured Reserve,Shoulder,,
Josh Sitton,MIA,MIN,2018-12-16,2018,15,Injured Reserve,Shoulder,,
Josh Sitton,MIA,JAX,2018-12-23,2018,16,Injured Reserve,Shoulder,,
Josh Sitton,MIA,BUF,2018-12-30,2018,17,Injured Reserve,Shoulder,,
