Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Josh Wells,JAX,GNB,2016-09-11,2016,1,Injured Reserve,Thumb,,
Josh Wells,JAX,SDG,2016-09-18,2016,2,Injured Reserve,Thumb,,
Josh Wells,JAX,BAL,2016-09-25,2016,3,Injured Reserve,Thumb,,
Josh Wells,JAX,IND,2016-10-02,2016,4,Injured Reserve,Thumb,,
Josh Wells,JAX,CHI,2016-10-16,2016,6,Injured Reserve,Thumb,,
Josh Wells,JAX,OAK,2016-10-23,2016,7,Injured Reserve,Thumb,,
Josh Wells,JAX,TEN,2016-10-27,2016,8,Injured Reserve,Thumb,,
Josh Wells,JAX,KAN,2016-11-06,2016,9,Injured Reserve,Thumb,,
Josh Wells,JAX,HOU,2016-11-13,2016,10,Injured Reserve,Thumb,,
Josh Wells,JAX,DET,2016-11-20,2016,11,Injured Reserve,Thumb,,
Josh Wells,JAX,TEN,2016-12-24,2016,16,Injured Reserve,Thumb,,
Josh Wells,JAX,IND,2017-12-03,2017,13,Out,Concussion,,
Josh Wells,JAX,DAL,2018-10-14,2018,6,Injured Reserve,Groin,,
Josh Wells,JAX,HOU,2018-10-21,2018,7,Injured Reserve,Groin,,
Josh Wells,JAX,PHI,2018-10-28,2018,8,Injured Reserve,Groin,,
Josh Wells,JAX,IND,2018-11-11,2018,10,Injured Reserve,Groin,,
Josh Wells,JAX,PIT,2018-11-18,2018,11,Injured Reserve,Groin,,
Josh Wells,JAX,BUF,2018-11-25,2018,12,Injured Reserve,Groin,,
Josh Wells,JAX,IND,2018-12-02,2018,13,Injured Reserve,Groin,,
Josh Wells,JAX,TEN,2018-12-06,2018,14,Injured Reserve,Groin,,
Josh Wells,JAX,HOU,2018-12-30,2018,17,Out,Concussion,,
