Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Julio Jones,ATL,NOR,2016-09-26,2016,3,Questionable,calf,,
Julio Jones,ATL,LAR,2016-12-11,2016,14,Questionable,toe,,
Julio Jones,ATL,SFO,2016-12-18,2016,15,Out,toe,,
Julio Jones,ATL,CAR,2018-12-23,2018,16,Questionable,Hip,,
Julio Jones,ATL,NOR,2019-11-28,2019,13,Questionable,Shoulder,,
Julio Jones,ATL,CHI,2020-09-27,2020,3,Questionable,Hamstring,,
Julio Jones,ATL,GNB,2020-10-05,2020,4,Questionable,Hamstring,,
Julio Jones,ATL,CAR,2020-10-11,2020,5,Questionable,Hamstring,,
Julio Jones,ATL,LVR,2020-11-29,2020,12,Questionable,Hamstring,,
Julio Jones,ATL,NOR,2020-12-06,2020,13,Questionable,Hamstring,,
Julio Jones,ATL,LAC,2020-12-13,2020,14,Out,Hamstring,,
Julio Jones,ATL,TAM,2020-12-20,2020,15,Out,Hamstring,,
Julio Jones,ATL,KAN,2020-12-27,2020,16,Out,Hamstring,,
Julio Jones,ATL,TAM,2021-01-03,2020,17,Out,Hamstring,,
