Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
K'Waun Williams,SFO,PHI,2017-10-29,2017,8,Out,Quadricep,,
K'Waun Williams,SFO,ARI,2017-11-05,2017,9,Out,Quadricep,,
K'Waun Williams,SFO,NYG,2017-11-12,2017,10,Questionable,Quadricep,,
K'Waun Williams,SFO,GNB,2018-10-15,2018,6,Questionable,Illness,,
K'Waun Williams,SFO,LAR,2018-10-21,2018,7,Questionable,Shoulder,,
K'Waun Williams,SFO,DEN,2018-12-09,2018,14,Questionable,Knee,,
K'Waun Williams,SFO,SEA,2018-12-16,2018,15,Questionable,Knee,,
K'Waun Williams,SFO,TAM,2019-09-08,2019,1,Questionable,Knee,,
K'Waun Williams,SFO,ATL,2019-12-15,2019,15,Out,Concussion,,
K'Waun Williams,SFO,PHI,2020-10-04,2020,4,Questionable,Hip,,
K'Waun Williams,SFO,MIA,2020-10-11,2020,5,Injured Reserve,,,
K'Waun Williams,SFO,LAR,2020-10-18,2020,6,Injured Reserve,,,
K'Waun Williams,SFO,NWE,2020-10-25,2020,7,Injured Reserve,,,
K'Waun Williams,SFO,SEA,2020-11-01,2020,8,Injured Reserve,,,
K'Waun Williams,SFO,NOR,2020-11-15,2020,10,Out,Ankle,,
K'Waun Williams,SFO,LAR,2020-11-29,2020,12,Out,Ankle,,
K'Waun Williams,SFO,BUF,2020-12-07,2020,13,Out,Ankle,,
K'Waun Williams,SFO,WAS,2020-12-13,2020,14,Questionable,Ankle,,
K'Waun Williams,SFO,DAL,2020-12-20,2020,15,Questionable,Ankle,,
