Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Kabion Ento,GNB,MIN,2020-09-13,2020,1,Injured Reserve,,,
Kabion Ento,GNB,DET,2020-09-20,2020,2,Injured Reserve,,,
Kabion Ento,GNB,NOR,2020-09-27,2020,3,Injured Reserve,,,
Kabion Ento,GNB,ATL,2020-10-05,2020,4,Injured Reserve,,,
Kabion Ento,GNB,TAM,2020-10-18,2020,6,Injured Reserve,,,
Kabion Ento,GNB,HOU,2020-10-25,2020,7,Injured Reserve,,,
Kabion Ento,GNB,MIN,2020-11-01,2020,8,Injured Reserve,,,
Kabion Ento,GNB,SFO,2020-11-05,2020,9,Injured Reserve,,,
Kabion Ento,GNB,JAX,2020-11-15,2020,10,Injured Reserve,,,
Kabion Ento,GNB,IND,2020-11-22,2020,11,Injured Reserve,,,
Kabion Ento,GNB,CHI,2020-11-29,2020,12,Injured Reserve,,,
Kabion Ento,GNB,PHI,2020-12-06,2020,13,Injured Reserve,,,
Kabion Ento,GNB,DET,2020-12-13,2020,14,Injured Reserve,,,
Kabion Ento,GNB,CAR,2020-12-19,2020,15,Injured Reserve,,,
Kabion Ento,GNB,TEN,2020-12-27,2020,16,Injured Reserve,,,
Kabion Ento,GNB,CHI,2021-01-03,2020,17,Injured Reserve,,,
