Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Kelvin Beachum,NYJ,CHI,2018-10-28,2018,8,Questionable,Back,,
Kelvin Beachum,NYJ,CLE,2019-09-16,2019,2,Questionable,Ankle,,
Kelvin Beachum,NYJ,NWE,2019-09-22,2019,3,Questionable,Ankle,,
Kelvin Beachum,NYJ,NWE,2019-10-21,2019,7,Doubtful,Ankle,,
Kelvin Beachum,NYJ,JAX,2019-10-27,2019,8,Out,Ankle,,
Kelvin Beachum,NYJ,MIA,2019-11-03,2019,9,Questionable,Ankle,,
Kelvin Beachum,NYJ,NYG,2019-11-10,2019,10,Questionable,Ankle,,
Kelvin Beachum,NYJ,WAS,2019-11-17,2019,11,Questionable,Ankle,,
Kelvin Beachum,NYJ,OAK,2019-11-24,2019,12,Questionable,Ankle,,
Kelvin Beachum,NYJ,CIN,2019-12-01,2019,13,Questionable,Ankle,,
Kelvin Beachum,NYJ,MIA,2019-12-08,2019,14,Questionable,Ankle,,
Kelvin Beachum,NYJ,BAL,2019-12-12,2019,15,Questionable,Ankle,,
Kelvin Beachum,NYJ,PIT,2019-12-22,2019,16,Questionable,Ankle,,
Kelvin Beachum,NYJ,BUF,2019-12-29,2019,17,Questionable,Back,,
Kelvin Beachum,ARI,SEA,2020-10-25,2020,7,Questionable,Ankle,,
Kelvin Beachum,ARI,NYG,2020-12-13,2020,14,Questionable,Back,,
