Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Kentrell Brice,GNB,ATL,2017-09-17,2017,2,Questionable,Quadricep,,
Kentrell Brice,GNB,CIN,2017-09-24,2017,3,Doubtful,Groin,,
Kentrell Brice,GNB,DET,2017-11-06,2017,9,Injured Reserve,Ankle,,
Kentrell Brice,GNB,CHI,2017-11-12,2017,10,Injured Reserve,Ankle,,
Kentrell Brice,GNB,BAL,2017-11-19,2017,11,Injured Reserve,Ankle,,
Kentrell Brice,GNB,PIT,2017-11-26,2017,12,Injured Reserve,Ankle,,
Kentrell Brice,GNB,TAM,2017-12-03,2017,13,Injured Reserve,Ankle,,
Kentrell Brice,GNB,CLE,2017-12-10,2017,14,Injured Reserve,Ankle,,
Kentrell Brice,GNB,CAR,2017-12-17,2017,15,Injured Reserve,Ankle,,
Kentrell Brice,GNB,MIN,2017-12-23,2017,16,Injured Reserve,Ankle,,
Kentrell Brice,GNB,DET,2017-12-31,2017,17,Injured Reserve,Ankle,,
Kentrell Brice,GNB,DET,2018-10-07,2018,5,Questionable,Ankle,,
Kentrell Brice,GNB,SEA,2018-11-15,2018,11,Out,Ankle,,
Kentrell Brice,GNB,MIN,2018-11-25,2018,12,Questionable,Ankle,,
Kentrell Brice,GNB,ARI,2018-12-02,2018,13,Out,Ankle,,
Kentrell Brice,GNB,ATL,2018-12-09,2018,14,Questionable,Ankle,,
Kentrell Brice,GNB,DET,2018-12-30,2018,17,Questionable,Ankle,,
