Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Kevin King,GNB,MIN,2017-10-15,2017,6,Doubtful,Concussion,,
Kevin King,GNB,BAL,2017-11-19,2017,11,Questionable,Shoulder,,
Kevin King,GNB,PIT,2017-11-26,2017,12,Questionable,Shoulder,,
Kevin King,GNB,TAM,2017-12-03,2017,13,Injured Reserve,Shoulder,,
Kevin King,GNB,CLE,2017-12-10,2017,14,Injured Reserve,Shoulder,,
Kevin King,GNB,CAR,2017-12-17,2017,15,Injured Reserve,Shoulder,,
Kevin King,GNB,MIN,2017-12-23,2017,16,Injured Reserve,Shoulder,,
Kevin King,GNB,DET,2017-12-31,2017,17,Injured Reserve,Shoulder,,
Kevin King,GNB,WAS,2018-09-23,2018,3,Out,Groin,,
Kevin King,GNB,BUF,2018-09-30,2018,4,Questionable,Groin,,
Kevin King,GNB,MIA,2018-11-11,2018,10,Injured Reserve,Hamstring,,
Kevin King,GNB,SEA,2018-11-15,2018,11,Injured Reserve,Hamstring,,
Kevin King,GNB,MIN,2018-11-25,2018,12,Injured Reserve,Hamstring,,
Kevin King,GNB,ARI,2018-12-02,2018,13,Injured Reserve,Hamstring,,
Kevin King,GNB,ATL,2018-12-09,2018,14,Injured Reserve,Hamstring,,
Kevin King,GNB,CHI,2018-12-16,2018,15,Injured Reserve,Hamstring,,
Kevin King,GNB,NYJ,2018-12-23,2018,16,Injured Reserve,Hamstring,,
Kevin King,GNB,DET,2018-12-30,2018,17,Injured Reserve,Hamstring,,
Kevin King,GNB,DAL,2019-10-06,2019,5,Doubtful,Groin,,
Kevin King,GNB,WAS,2019-12-08,2019,14,Questionable,Shoulder,,
Kevin King,GNB,CHI,2019-12-15,2019,15,Questionable,Shoulder,,
Kevin King,GNB,TAM,2020-10-18,2020,6,Questionable,Quadricep,,
Kevin King,GNB,HOU,2020-10-25,2020,7,Doubtful,Quadricep,,
Kevin King,GNB,MIN,2020-11-01,2020,8,Out,Quadricep,,
Kevin King,GNB,SFO,2020-11-05,2020,9,Out,Quadricep,,
Kevin King,GNB,JAX,2020-11-15,2020,10,Questionable,Quadricep,,
Kevin King,GNB,IND,2020-11-22,2020,11,Questionable,Achilles,,
Kevin King,GNB,CHI,2020-11-29,2020,12,Questionable,Achilles,,
