Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Kevin Norwood,CAR,DEN,2016-09-08,2016,1,Injured Reserve,Hip,,
Kevin Norwood,CAR,SFO,2016-09-18,2016,2,Injured Reserve,Hip,,
Kevin Norwood,CAR,MIN,2016-09-25,2016,3,Injured Reserve,Hip,,
Kevin Norwood,CAR,ATL,2016-10-02,2016,4,Injured Reserve,Hip,,
Kevin Norwood,CAR,TAM,2016-10-10,2016,5,Injured Reserve,Hip,,
Kevin Norwood,CAR,NOR,2016-10-16,2016,6,Injured Reserve,Hip,,
Kevin Norwood,CAR,ARI,2016-10-30,2016,8,Injured Reserve,Hip,,
Kevin Norwood,CAR,LAR,2016-11-06,2016,9,Injured Reserve,Hip,,
Kevin Norwood,CAR,KAN,2016-11-13,2016,10,Injured Reserve,Hip,,
Kevin Norwood,CAR,NOR,2016-11-17,2016,11,Injured Reserve,Hip,,
Kevin Norwood,CAR,OAK,2016-11-27,2016,12,Injured Reserve,Hip,,
Kevin Norwood,CAR,SEA,2016-12-04,2016,13,Injured Reserve,Hip,,
Kevin Norwood,CAR,SDG,2016-12-11,2016,14,Injured Reserve,Hip,,
Kevin Norwood,CAR,WAS,2016-12-19,2016,15,Injured Reserve,Hip,,
Kevin Norwood,CAR,ATL,2016-12-24,2016,16,Injured Reserve,Hip,,
Kevin Norwood,CAR,TAM,2017-01-01,2016,17,Injured Reserve,Hip,,
Kevin Norwood,NYG,DAL,2017-09-10,2017,1,Injured Reserve,Hip,,
Kevin Norwood,NYG,DET,2017-09-18,2017,2,Injured Reserve,Hip,,
Kevin Norwood,NYG,PHI,2017-09-24,2017,3,Injured Reserve,Hip,,
Kevin Norwood,NYG,TAM,2017-10-01,2017,4,Injured Reserve,Hip,,
Kevin Norwood,NYG,LAC,2017-10-08,2017,5,Injured Reserve,Hip,,
Kevin Norwood,NYG,DEN,2017-10-15,2017,6,Injured Reserve,Hip,,
Kevin Norwood,NYG,SEA,2017-10-22,2017,7,Injured Reserve,Hip,,
Kevin Norwood,NYG,LAR,2017-11-05,2017,9,Injured Reserve,Hip,,
Kevin Norwood,NYG,SFO,2017-11-12,2017,10,Injured Reserve,Hip,,
Kevin Norwood,NYG,KAN,2017-11-19,2017,11,Injured Reserve,Hip,,
Kevin Norwood,NYG,WAS,2017-11-23,2017,12,Injured Reserve,Hip,,
Kevin Norwood,NYG,OAK,2017-12-03,2017,13,Injured Reserve,Hip,,
Kevin Norwood,NYG,DAL,2017-12-10,2017,14,Injured Reserve,Hip,,
Kevin Norwood,NYG,PHI,2017-12-17,2017,15,Injured Reserve,Hip,,
Kevin Norwood,NYG,ARI,2017-12-24,2017,16,Injured Reserve,Hip,,
Kevin Norwood,NYG,WAS,2017-12-31,2017,17,Injured Reserve,Hip,,
