Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Kevin Pierre-Louis,SEA,ARI,2016-10-23,2016,7,Out,ankle,,
Kevin Pierre-Louis,SEA,NOR,2016-10-30,2016,8,Out,ankle,,
Kevin Pierre-Louis,SEA,PHI,2016-11-20,2016,11,Out,hamstring,,
Kevin Pierre-Louis,KAN,PHI,2017-09-17,2017,2,Questionable,Illness,,
Kevin Pierre-Louis,KAN,WAS,2017-10-02,2017,4,Questionable,Groin,,
Kevin Pierre-Louis,KAN,LAC,2017-12-16,2017,15,Questionable,Quadricep,,
Kevin Pierre-Louis,KAN,DEN,2017-12-31,2017,17,Questionable,Shoulder,,
Kevin Pierre-Louis,NYJ,IND,2018-10-14,2018,6,Doubtful,Foot,,
Kevin Pierre-Louis,NYJ,MIN,2018-10-21,2018,7,Doubtful,Foot,,
Kevin Pierre-Louis,NYJ,CHI,2018-10-28,2018,8,Questionable,Foot,,
Kevin Pierre-Louis,NYJ,MIA,2018-11-04,2018,9,Doubtful,Foot,,
Kevin Pierre-Louis,NYJ,HOU,2018-12-15,2018,15,Questionable,Shoulder,,
Kevin Pierre-Louis,NYJ,GNB,2018-12-23,2018,16,Injured Reserve,Shoulder,,
Kevin Pierre-Louis,NYJ,NWE,2018-12-30,2018,17,Out,Shoulder,,
Kevin Pierre-Louis,WAS,BAL,2020-10-04,2020,4,Questionable,Illness,,
Kevin Pierre-Louis,WAS,SEA,2020-12-20,2020,15,Out,Ankle,,
Kevin Pierre-Louis,WAS,CAR,2020-12-27,2020,16,Questionable,Ankle,,
Kevin Pierre-Louis,WAS,PHI,2021-01-03,2020,17,Questionable,Ankle,,
