Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Kyle Van Noy,NWE,BUF,2017-12-03,2017,13,Questionable,Calf,,
Kyle Van Noy,NWE,MIA,2017-12-11,2017,14,Out,Calf,,
Kyle Van Noy,NWE,PIT,2017-12-17,2017,15,Questionable,Calf,,
Kyle Van Noy,NWE,BUF,2017-12-24,2017,16,Questionable,Calf,,
Kyle Van Noy,NWE,NYJ,2017-12-31,2017,17,Questionable,Calf,,
Kyle Van Noy,NWE,HOU,2019-12-01,2019,13,Questionable,Illness,,
Kyle Van Noy,MIA,NYJ,2020-10-18,2020,6,Questionable,Groin,,
Kyle Van Noy,MIA,LAC,2020-11-15,2020,10,C19,,,
Kyle Van Noy,MIA,DEN,2020-11-22,2020,11,Questionable,Hip,,
Kyle Van Noy,MIA,KAN,2020-12-13,2020,14,Questionable,Hip,,
Kyle Van Noy,MIA,NWE,2020-12-20,2020,15,Questionable,Hip,,
