Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Lamarr Houston,CHI,DAL,2016-09-25,2016,3,Injured Reserve,Knee,,
Lamarr Houston,CHI,DET,2016-10-02,2016,4,Injured Reserve,Knee,,
Lamarr Houston,CHI,IND,2016-10-09,2016,5,Injured Reserve,Knee,,
Lamarr Houston,CHI,JAX,2016-10-16,2016,6,Injured Reserve,Knee,,
Lamarr Houston,CHI,GNB,2016-10-20,2016,7,Injured Reserve,Knee,,
Lamarr Houston,CHI,MIN,2016-10-31,2016,8,Injured Reserve,Knee,,
Lamarr Houston,CHI,TAM,2016-11-13,2016,10,Injured Reserve,Knee,,
Lamarr Houston,CHI,NYG,2016-11-20,2016,11,Injured Reserve,Knee,,
Lamarr Houston,CHI,TEN,2016-11-27,2016,12,Injured Reserve,Knee,,
Lamarr Houston,CHI,SFO,2016-12-04,2016,13,Injured Reserve,Knee,,
Lamarr Houston,CHI,DET,2016-12-11,2016,14,Injured Reserve,Knee,,
Lamarr Houston,CHI,GNB,2016-12-18,2016,15,Injured Reserve,Knee,,
Lamarr Houston,CHI,WAS,2016-12-24,2016,16,Injured Reserve,Knee,,
Lamarr Houston,CHI,MIN,2017-01-01,2016,17,Injured Reserve,Knee,,
Lamarr Houston,CHI,ATL,2017-09-10,2017,1,Injured Reserve,Knee,,
Lamarr Houston,CHI,TAM,2017-09-17,2017,2,Injured Reserve,Knee,,
Lamarr Houston,CHI,PIT,2017-09-24,2017,3,Injured Reserve,Knee,,
Lamarr Houston,CHI,GNB,2017-09-28,2017,4,Injured Reserve,Knee,,
Lamarr Houston,CHI,MIN,2017-10-09,2017,5,Injured Reserve,Knee,,
Lamarr Houston,CHI,CAR,2017-10-22,2017,7,Injured Reserve,Knee,,
Lamarr Houston,CHI,PHI,2017-11-26,2017,12,Injured Reserve,Knee,,
