Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Lano Hill,SEA,CHI,2018-09-17,2018,2,Doubtful,Hamstring,,
Lano Hill,SEA,ARI,2018-09-30,2018,4,Questionable,Hamstring,,
Lano Hill,SEA,GNB,2018-11-15,2018,11,Questionable,Quadricep,,
Lano Hill,SEA,BAL,2019-10-20,2019,7,Doubtful,Elbow,,
Lano Hill,SEA,ATL,2019-10-27,2019,8,Out,Elbow,,
Lano Hill,SEA,TAM,2019-11-03,2019,9,Doubtful,Elbow,,
Lano Hill,SEA,SFO,2019-11-11,2019,10,Questionable,Elbow,,
Lano Hill,SEA,MIA,2020-10-04,2020,4,Questionable,Back,,
Lano Hill,SEA,MIN,2020-10-11,2020,5,Questionable,Back,,
Lano Hill,SEA,ARI,2020-10-25,2020,7,Injured Reserve,,,
Lano Hill,SEA,SFO,2020-11-01,2020,8,Injured Reserve,,,
Lano Hill,SEA,BUF,2020-11-08,2020,9,Injured Reserve,,,
Lano Hill,SEA,LAR,2020-11-15,2020,10,Injured Reserve,,,
Lano Hill,SEA,ARI,2020-11-19,2020,11,Injured Reserve,,,
Lano Hill,SEA,PHI,2020-11-30,2020,12,Injured Reserve,,,
Lano Hill,SEA,NYG,2020-12-06,2020,13,Injured Reserve,,,
Lano Hill,SEA,NYJ,2020-12-13,2020,14,Injured Reserve,,,
Lano Hill,SEA,WAS,2020-12-20,2020,15,Injured Reserve,,,
Lano Hill,SEA,LAR,2020-12-27,2020,16,Injured Reserve,,,
Lano Hill,SEA,SFO,2021-01-03,2020,17,Injured Reserve,,,
