Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Leighton Vander Esch,DAL,NYG,2019-11-04,2019,9,Questionable,Neck,,
Leighton Vander Esch,DAL,NWE,2019-11-24,2019,12,Out,Neck,,
Leighton Vander Esch,DAL,BUF,2019-11-28,2019,13,Out,Neck,,
Leighton Vander Esch,DAL,CHI,2019-12-05,2019,14,Out,Neck,,
Leighton Vander Esch,DAL,LAR,2019-12-15,2019,15,Out,Neck,,
Leighton Vander Esch,DAL,PHI,2019-12-22,2019,16,Out,Neck,,
Leighton Vander Esch,DAL,WAS,2019-12-29,2019,17,Injured Reserve,,,
Leighton Vander Esch,DAL,ATL,2020-09-20,2020,2,Injured Reserve,,,
Leighton Vander Esch,DAL,SEA,2020-09-27,2020,3,Injured Reserve,,,
Leighton Vander Esch,DAL,CLE,2020-10-04,2020,4,Injured Reserve,,,
Leighton Vander Esch,DAL,NYG,2020-10-11,2020,5,Injured Reserve,,,
Leighton Vander Esch,DAL,ARI,2020-10-19,2020,6,Injured Reserve,,,
Leighton Vander Esch,DAL,PHI,2020-12-27,2020,16,Out,Ankle,,
Leighton Vander Esch,DAL,NYG,2021-01-03,2020,17,Out,Ankle,,
