Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Leon Jacobs,JAX,WAS,2018-12-16,2018,15,Out,Quadricep,,
Leon Jacobs,JAX,MIA,2018-12-23,2018,16,Injured Reserve,Quadricep,,
Leon Jacobs,JAX,HOU,2018-12-30,2018,17,Injured Reserve,Quadricep,,
Leon Jacobs,JAX,NYJ,2019-10-27,2019,8,Out,Hamstring,,
Leon Jacobs,JAX,HOU,2019-11-03,2019,9,Out,Hamstring,,
Leon Jacobs,JAX,CIN,2020-10-04,2020,4,Injured Reserve,,,
Leon Jacobs,JAX,HOU,2020-10-11,2020,5,Injured Reserve,,,
Leon Jacobs,JAX,DET,2020-10-18,2020,6,Injured Reserve,,,
Leon Jacobs,JAX,LAC,2020-10-25,2020,7,Injured Reserve,,,
Leon Jacobs,JAX,HOU,2020-11-08,2020,9,Injured Reserve,,,
Leon Jacobs,JAX,GNB,2020-11-15,2020,10,Injured Reserve,,,
Leon Jacobs,JAX,PIT,2020-11-22,2020,11,Injured Reserve,,,
Leon Jacobs,JAX,CLE,2020-11-29,2020,12,Injured Reserve,,,
Leon Jacobs,JAX,MIN,2020-12-06,2020,13,Injured Reserve,,,
Leon Jacobs,JAX,TEN,2020-12-13,2020,14,Injured Reserve,,,
Leon Jacobs,JAX,BAL,2020-12-20,2020,15,Injured Reserve,,,
Leon Jacobs,JAX,CHI,2020-12-27,2020,16,Injured Reserve,,,
Leon Jacobs,JAX,IND,2021-01-03,2020,17,Injured Reserve,,,
