Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Lorenzo Carter,NYG,CHI,2018-12-02,2018,13,Questionable,Hip,,
Lorenzo Carter,NYG,MIN,2019-10-06,2019,5,Questionable,Neck,,
Lorenzo Carter,NYG,NWE,2019-10-10,2019,6,Questionable,Neck,,
Lorenzo Carter,NYG,PHI,2020-10-22,2020,7,Injured Reserve,,,
Lorenzo Carter,NYG,TAM,2020-11-02,2020,8,Injured Reserve,,,
Lorenzo Carter,NYG,WAS,2020-11-08,2020,9,Injured Reserve,,,
Lorenzo Carter,NYG,PHI,2020-11-15,2020,10,Injured Reserve,,,
Lorenzo Carter,NYG,CIN,2020-11-29,2020,12,Injured Reserve,,,
Lorenzo Carter,NYG,SEA,2020-12-06,2020,13,Injured Reserve,,,
Lorenzo Carter,NYG,ARI,2020-12-13,2020,14,Injured Reserve,,,
Lorenzo Carter,NYG,CLE,2020-12-20,2020,15,Injured Reserve,,,
Lorenzo Carter,NYG,BAL,2020-12-27,2020,16,Injured Reserve,,,
Lorenzo Carter,NYG,DAL,2021-01-03,2020,17,Injured Reserve,,,
