Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Luke Falk,MIA,CIN,2018-10-07,2018,5,Out,Wrist,,
Luke Falk,MIA,CHI,2018-10-14,2018,6,Injured Reserve,Wrist,,
Luke Falk,MIA,DET,2018-10-21,2018,7,Injured Reserve,Wrist,,
Luke Falk,MIA,HOU,2018-10-25,2018,8,Injured Reserve,Wrist,,
Luke Falk,MIA,NYJ,2018-11-04,2018,9,Injured Reserve,Wrist,,
Luke Falk,MIA,GNB,2018-11-11,2018,10,Injured Reserve,Wrist,,
Luke Falk,MIA,IND,2018-11-25,2018,12,Injured Reserve,Wrist,,
Luke Falk,MIA,BUF,2018-12-02,2018,13,Injured Reserve,Wrist,,
Luke Falk,MIA,NWE,2018-12-09,2018,14,Injured Reserve,Wrist,,
Luke Falk,MIA,MIN,2018-12-16,2018,15,Injured Reserve,Wrist,,
Luke Falk,MIA,JAX,2018-12-23,2018,16,Injured Reserve,Wrist,,
Luke Falk,MIA,BUF,2018-12-30,2018,17,Injured Reserve,Wrist,,
