Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Luke Kuechly,CAR,LAR,2016-11-06,2016,9,Questionable,groin,,
Luke Kuechly,CAR,OAK,2016-11-27,2016,12,Out,concussion,,
Luke Kuechly,CAR,SEA,2016-12-04,2016,13,Out,concussion,,
Luke Kuechly,CAR,SDG,2016-12-11,2016,14,Questionable,concussion,,
Luke Kuechly,CAR,WAS,2016-12-19,2016,15,Questionable,concussion,,
Luke Kuechly,CAR,CHI,2017-10-22,2017,7,Out,Concussion,,
Luke Kuechly,CAR,TAM,2017-10-29,2017,8,Questionable,Concussion,,
Luke Kuechly,CAR,LVR,2020-09-13,2020,1,Injured Reserve,,,
Luke Kuechly,CAR,TAM,2020-09-20,2020,2,Injured Reserve,,,
Luke Kuechly,CAR,LAC,2020-09-27,2020,3,Injured Reserve,,,
Luke Kuechly,CAR,ARI,2020-10-04,2020,4,Injured Reserve,,,
Luke Kuechly,CAR,ATL,2020-10-11,2020,5,Injured Reserve,,,
Luke Kuechly,CAR,CHI,2020-10-18,2020,6,Injured Reserve,,,
Luke Kuechly,CAR,NOR,2020-10-25,2020,7,Injured Reserve,,,
