Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Maliek Collins,DAL,CLE,2016-11-06,2016,9,Questionable,knee,,
Maliek Collins,DAL,WAS,2017-10-29,2017,8,Questionable,Foot,,
Maliek Collins,DAL,KAN,2017-11-05,2017,9,Questionable,Foot,,
Maliek Collins,DAL,ATL,2017-11-12,2017,10,Questionable,Foot,,
Maliek Collins,DAL,PHI,2017-11-19,2017,11,Questionable,Foot,,
Maliek Collins,DAL,LAC,2017-11-23,2017,12,Questionable,Foot,,
Maliek Collins,DAL,WAS,2017-11-30,2017,13,Questionable,Foot,,
Maliek Collins,DAL,NYG,2017-12-10,2017,14,Questionable,Foot,,
Maliek Collins,DAL,OAK,2017-12-17,2017,15,Questionable,Foot,,
Maliek Collins,DAL,SEA,2018-09-23,2018,3,Out,Knee,,
Maliek Collins,DAL,DET,2018-09-30,2018,4,Out,Knee,,
Maliek Collins,DAL,HOU,2018-10-07,2018,5,Questionable,Knee,,
Maliek Collins,DAL,JAX,2018-10-14,2018,6,Questionable,Knee,,
Maliek Collins,DAL,ATL,2018-11-18,2018,11,Questionable,Knee,,
Maliek Collins,DAL,WAS,2018-11-22,2018,12,Questionable,Knee,,
Maliek Collins,DAL,NOR,2018-11-29,2018,13,Questionable,Knee,,
Maliek Collins,OAK,KAN,2020-10-11,2020,5,Questionable,Shoulder,,
Maliek Collins,OAK,TAM,2020-10-25,2020,7,Questionable,Shoulder,,
Maliek Collins,OAK,KAN,2020-11-22,2020,11,C19,,,
Maliek Collins,OAK,NYJ,2020-12-06,2020,13,Out,Hamstring,,
Maliek Collins,OAK,IND,2020-12-13,2020,14,Injured Reserve,,,
Maliek Collins,OAK,LAC,2020-12-17,2020,15,Injured Reserve,,,
Maliek Collins,OAK,MIA,2020-12-26,2020,16,Injured Reserve,,,
