Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Manasseh Garner,WAS,ARI,2018-09-09,2018,1,Injured Reserve,Knee,,
Manasseh Garner,WAS,IND,2018-09-16,2018,2,Injured Reserve,Knee,,
Manasseh Garner,WAS,GNB,2018-09-23,2018,3,Injured Reserve,Knee,,
Manasseh Garner,WAS,NOR,2018-10-08,2018,5,Injured Reserve,Knee,,
Manasseh Garner,WAS,CAR,2018-10-14,2018,6,Injured Reserve,Knee,,
Manasseh Garner,WAS,DAL,2018-10-21,2018,7,Injured Reserve,Knee,,
Manasseh Garner,WAS,NYG,2018-10-28,2018,8,Injured Reserve,Knee,,
Manasseh Garner,WAS,ATL,2018-11-04,2018,9,Injured Reserve,Knee,,
Manasseh Garner,WAS,TAM,2018-11-11,2018,10,Injured Reserve,Knee,,
Manasseh Garner,WAS,HOU,2018-11-18,2018,11,Injured Reserve,Knee,,
Manasseh Garner,WAS,DAL,2018-11-22,2018,12,Injured Reserve,Knee,,
Manasseh Garner,WAS,PHI,2018-12-03,2018,13,Injured Reserve,Knee,,
Manasseh Garner,WAS,NYG,2018-12-09,2018,14,Injured Reserve,Knee,,
Manasseh Garner,WAS,JAX,2018-12-16,2018,15,Injured Reserve,Knee,,
Manasseh Garner,WAS,TEN,2018-12-22,2018,16,Injured Reserve,Knee,,
Manasseh Garner,WAS,PHI,2018-12-30,2018,17,Injured Reserve,Knee,,
