Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Mark Herzlich,NYG,PIT,2016-12-04,2016,13,Out,concussion,,
Mark Herzlich,NYG,DAL,2016-12-11,2016,14,Out,concussion,,
Mark Herzlich,NYG,DAL,2017-09-10,2017,1,Injured Reserve,Stinger,,
Mark Herzlich,NYG,DET,2017-09-18,2017,2,Injured Reserve,Stinger,,
Mark Herzlich,NYG,PHI,2017-09-24,2017,3,Injured Reserve,Stinger,,
Mark Herzlich,NYG,TAM,2017-10-01,2017,4,Injured Reserve,Stinger,,
Mark Herzlich,NYG,LAC,2017-10-08,2017,5,Injured Reserve,Stinger,,
Mark Herzlich,NYG,DEN,2017-10-15,2017,6,Injured Reserve,Stinger,,
Mark Herzlich,NYG,SEA,2017-10-22,2017,7,Injured Reserve,Stinger,,
Mark Herzlich,NYG,LAR,2017-11-05,2017,9,Injured Reserve,Stinger,,
Mark Herzlich,NYG,SFO,2017-11-12,2017,10,Injured Reserve,Stinger,,
Mark Herzlich,NYG,KAN,2017-11-19,2017,11,Injured Reserve,Stinger,,
Mark Herzlich,NYG,WAS,2017-11-23,2017,12,Injured Reserve,Stinger,,
Mark Herzlich,NYG,OAK,2017-12-03,2017,13,Injured Reserve,Stinger,,
Mark Herzlich,NYG,DAL,2017-12-10,2017,14,Injured Reserve,Stinger,,
Mark Herzlich,NYG,PHI,2017-12-17,2017,15,Injured Reserve,Stinger,,
Mark Herzlich,NYG,ARI,2017-12-24,2017,16,Injured Reserve,Stinger,,
Mark Herzlich,NYG,WAS,2017-12-31,2017,17,Injured Reserve,Stinger,,
