Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Marquise Blair,SEA,DAL,2020-09-27,2020,3,Injured Reserve,,,
Marquise Blair,SEA,MIA,2020-10-04,2020,4,Injured Reserve,,,
Marquise Blair,SEA,MIN,2020-10-11,2020,5,Injured Reserve,,,
Marquise Blair,SEA,ARI,2020-10-25,2020,7,Injured Reserve,,,
Marquise Blair,SEA,SFO,2020-11-01,2020,8,Injured Reserve,,,
Marquise Blair,SEA,BUF,2020-11-08,2020,9,Injured Reserve,,,
Marquise Blair,SEA,LAR,2020-11-15,2020,10,Injured Reserve,,,
Marquise Blair,SEA,ARI,2020-11-19,2020,11,Injured Reserve,,,
Marquise Blair,SEA,PHI,2020-11-30,2020,12,Injured Reserve,,,
Marquise Blair,SEA,NYG,2020-12-06,2020,13,Injured Reserve,,,
Marquise Blair,SEA,NYJ,2020-12-13,2020,14,Injured Reserve,,,
Marquise Blair,SEA,WAS,2020-12-20,2020,15,Injured Reserve,,,
Marquise Blair,SEA,LAR,2020-12-27,2020,16,Injured Reserve,,,
Marquise Blair,SEA,SFO,2021-01-03,2020,17,Injured Reserve,,,
