Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Marshawn Lynch,OAK,IND,2018-10-28,2018,8,Injured Reserve,Abdomen,,
Marshawn Lynch,OAK,SFO,2018-11-01,2018,9,Injured Reserve,Abdomen,,
Marshawn Lynch,OAK,LAC,2018-11-11,2018,10,Injured Reserve,Abdomen,,
Marshawn Lynch,OAK,ARI,2018-11-18,2018,11,Injured Reserve,Abdomen,,
Marshawn Lynch,OAK,BAL,2018-11-25,2018,12,Injured Reserve,Abdomen,,
Marshawn Lynch,OAK,KAN,2018-12-02,2018,13,Injured Reserve,Abdomen,,
Marshawn Lynch,OAK,PIT,2018-12-09,2018,14,Injured Reserve,Abdomen,,
Marshawn Lynch,OAK,CIN,2018-12-16,2018,15,Injured Reserve,Abdomen,,
Marshawn Lynch,OAK,DEN,2018-12-24,2018,16,Injured Reserve,Abdomen,,
Marshawn Lynch,OAK,KAN,2018-12-30,2018,17,Injured Reserve,Abdomen,,
