Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Marvell Tell,IND,JAX,2020-09-13,2020,1,Injured Reserve,,,
Marvell Tell,IND,MIN,2020-09-20,2020,2,Injured Reserve,,,
Marvell Tell,IND,NYJ,2020-09-27,2020,3,Injured Reserve,,,
Marvell Tell,IND,CHI,2020-10-04,2020,4,Injured Reserve,,,
Marvell Tell,IND,CLE,2020-10-11,2020,5,Injured Reserve,,,
Marvell Tell,IND,CIN,2020-10-18,2020,6,Injured Reserve,,,
Marvell Tell,IND,DET,2020-11-01,2020,8,Injured Reserve,,,
Marvell Tell,IND,BAL,2020-11-08,2020,9,Injured Reserve,,,
Marvell Tell,IND,TEN,2020-11-12,2020,10,Injured Reserve,,,
Marvell Tell,IND,GNB,2020-11-22,2020,11,Injured Reserve,,,
Marvell Tell,IND,TEN,2020-11-29,2020,12,Injured Reserve,,,
Marvell Tell,IND,HOU,2020-12-06,2020,13,Injured Reserve,,,
Marvell Tell,IND,LVR,2020-12-13,2020,14,Injured Reserve,,,
Marvell Tell,IND,HOU,2020-12-20,2020,15,Injured Reserve,,,
Marvell Tell,IND,PIT,2020-12-27,2020,16,Injured Reserve,,,
Marvell Tell,IND,JAX,2021-01-03,2020,17,Injured Reserve,,,
