Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Mason Schreck,CIN,BAL,2017-09-10,2017,1,Injured Reserve,Knee,,
Mason Schreck,CIN,HOU,2017-09-14,2017,2,Injured Reserve,Knee,,
Mason Schreck,CIN,GNB,2017-09-24,2017,3,Injured Reserve,Knee,,
Mason Schreck,CIN,CLE,2017-10-01,2017,4,Injured Reserve,Knee,,
Mason Schreck,CIN,BUF,2017-10-08,2017,5,Injured Reserve,Knee,,
Mason Schreck,CIN,PIT,2017-10-22,2017,7,Injured Reserve,Knee,,
Mason Schreck,CIN,IND,2017-10-29,2017,8,Injured Reserve,Knee,,
Mason Schreck,CIN,JAX,2017-11-05,2017,9,Injured Reserve,Knee,,
Mason Schreck,CIN,TEN,2017-11-12,2017,10,Injured Reserve,Knee,,
Mason Schreck,CIN,DEN,2017-11-19,2017,11,Injured Reserve,Knee,,
Mason Schreck,CIN,CLE,2017-11-26,2017,12,Injured Reserve,Knee,,
Mason Schreck,CIN,PIT,2017-12-04,2017,13,Injured Reserve,Knee,,
Mason Schreck,CIN,CHI,2017-12-10,2017,14,Injured Reserve,Knee,,
Mason Schreck,CIN,MIN,2017-12-17,2017,15,Injured Reserve,Knee,,
Mason Schreck,CIN,DET,2017-12-24,2017,16,Injured Reserve,Knee,,
Mason Schreck,CIN,BAL,2017-12-31,2017,17,Injured Reserve,Knee,,
Mason Schreck,CIN,TAM,2018-10-28,2018,8,Injured Reserve,Knee,,
Mason Schreck,CIN,NOR,2018-11-11,2018,10,Injured Reserve,Knee,,
Mason Schreck,CIN,BAL,2018-11-18,2018,11,Injured Reserve,Knee,,
Mason Schreck,CIN,CLE,2018-11-25,2018,12,Injured Reserve,Knee,,
Mason Schreck,CIN,DEN,2018-12-02,2018,13,Injured Reserve,Knee,,
Mason Schreck,CIN,LAC,2018-12-09,2018,14,Injured Reserve,Knee,,
Mason Schreck,CIN,OAK,2018-12-16,2018,15,Injured Reserve,Knee,,
Mason Schreck,CIN,CLE,2018-12-23,2018,16,Injured Reserve,Knee,,
Mason Schreck,CIN,PIT,2018-12-30,2018,17,Injured Reserve,Knee,,
