Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Matt Lengel,NWE,KAN,2017-09-07,2017,1,Injured Reserve,Hip,,
Matt Lengel,NWE,NOR,2017-09-17,2017,2,Injured Reserve,Hip,,
Matt Lengel,NWE,HOU,2017-09-24,2017,3,Injured Reserve,Hip,,
Matt Lengel,NWE,CAR,2017-10-01,2017,4,Injured Reserve,Hip,,
Matt Lengel,NWE,TAM,2017-10-05,2017,5,Injured Reserve,Hip,,
Matt Lengel,NWE,NYJ,2017-10-15,2017,6,Injured Reserve,Hip,,
Matt Lengel,NWE,ATL,2017-10-22,2017,7,Injured Reserve,Hip,,
Matt Lengel,NWE,LAC,2017-10-29,2017,8,Injured Reserve,Hip,,
Matt Lengel,NWE,DEN,2017-11-12,2017,10,Injured Reserve,Hip,,
Matt Lengel,NWE,OAK,2017-11-19,2017,11,Injured Reserve,Hip,,
Matt Lengel,NWE,MIA,2017-11-26,2017,12,Injured Reserve,Hip,,
Matt Lengel,NWE,BUF,2017-12-03,2017,13,Injured Reserve,Hip,,
Matt Lengel,NWE,MIA,2017-12-11,2017,14,Injured Reserve,Hip,,
Matt Lengel,NWE,PIT,2017-12-17,2017,15,Injured Reserve,Hip,,
Matt Lengel,NWE,NYJ,2017-12-31,2017,17,Injured Reserve,Hip,,
