Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Mike James,TAM,ATL,2016-09-11,2016,1,Injured Reserve,Undisclosed,,
Mike James,TAM,ARI,2016-09-18,2016,2,Injured Reserve,Undisclosed,,
Mike James,TAM,LAR,2016-09-25,2016,3,Injured Reserve,Undisclosed,,
Mike James,TAM,DEN,2016-10-02,2016,4,Injured Reserve,Undisclosed,,
Mike James,TAM,CAR,2016-10-10,2016,5,Injured Reserve,Undisclosed,,
Mike James,TAM,SFO,2016-10-23,2016,7,Injured Reserve,Undisclosed,,
Mike James,TAM,OAK,2016-10-30,2016,8,Injured Reserve,Undisclosed,,
Mike James,TAM,SDG,2016-12-04,2016,13,Injured Reserve,Undisclosed,,
Mike James,TAM,NOR,2016-12-11,2016,14,Injured Reserve,Undisclosed,,
Mike James,TAM,DAL,2016-12-18,2016,15,Injured Reserve,Undisclosed,,
Mike James,TAM,NOR,2016-12-24,2016,16,Injured Reserve,Undisclosed,,
Mike James,TAM,CAR,2017-01-01,2016,17,Injured Reserve,Undisclosed,,
Mike James,DET,ARI,2017-09-10,2017,1,Injured Reserve,Concussion,,
Mike James,DET,NYG,2017-09-18,2017,2,Injured Reserve,Concussion,,
Mike James,DET,ATL,2017-09-24,2017,3,Injured Reserve,Concussion,,
Mike James,DET,MIN,2017-10-01,2017,4,Injured Reserve,Concussion,,
Mike James,DET,CAR,2017-10-08,2017,5,Injured Reserve,Concussion,,
Mike James,DET,NOR,2017-10-15,2017,6,Injured Reserve,Concussion,,
Mike James,DET,PIT,2017-10-29,2017,8,Injured Reserve,Concussion,,
Mike James,DET,GNB,2017-11-06,2017,9,Injured Reserve,Concussion,,
Mike James,DET,CLE,2017-11-12,2017,10,Injured Reserve,Concussion,,
Mike James,DET,CHI,2017-11-19,2017,11,Injured Reserve,Concussion,,
Mike James,DET,MIN,2017-11-23,2017,12,Injured Reserve,Concussion,,
Mike James,DET,BAL,2017-12-03,2017,13,Injured Reserve,Concussion,,
Mike James,DET,TAM,2017-12-10,2017,14,Injured Reserve,Concussion,,
Mike James,DET,CHI,2017-12-16,2017,15,Injured Reserve,Concussion,,
Mike James,DET,CIN,2017-12-24,2017,16,Injured Reserve,Concussion,,
Mike James,DET,GNB,2017-12-31,2017,17,Injured Reserve,Concussion,,
