Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Mychal Rivera,JAX,HOU,2017-09-10,2017,1,Injured Reserve,Wrist,,
Mychal Rivera,JAX,TEN,2017-09-17,2017,2,Injured Reserve,Wrist,,
Mychal Rivera,JAX,BAL,2017-09-24,2017,3,Injured Reserve,Wrist,,
Mychal Rivera,JAX,NYJ,2017-10-01,2017,4,Injured Reserve,Wrist,,
Mychal Rivera,JAX,PIT,2017-10-08,2017,5,Injured Reserve,Wrist,,
Mychal Rivera,JAX,LAR,2017-10-15,2017,6,Injured Reserve,Wrist,,
Mychal Rivera,JAX,IND,2017-10-22,2017,7,Injured Reserve,Wrist,,
Mychal Rivera,JAX,CIN,2017-11-05,2017,9,Injured Reserve,Wrist,,
Mychal Rivera,JAX,LAC,2017-11-12,2017,10,Injured Reserve,Wrist,,
Mychal Rivera,JAX,CLE,2017-11-19,2017,11,Injured Reserve,Wrist,,
Mychal Rivera,JAX,ARI,2017-11-26,2017,12,Injured Reserve,Wrist,,
Mychal Rivera,JAX,IND,2017-12-03,2017,13,Injured Reserve,Wrist,,
Mychal Rivera,JAX,SEA,2017-12-10,2017,14,Injured Reserve,Wrist,,
Mychal Rivera,JAX,HOU,2017-12-17,2017,15,Injured Reserve,Wrist,,
Mychal Rivera,JAX,SFO,2017-12-24,2017,16,Injured Reserve,Wrist,,
Mychal Rivera,JAX,TEN,2017-12-31,2017,17,Injured Reserve,Wrist,,
