Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
N'Keal Harry,NWE,PIT,2019-09-08,2019,1,Injured Reserve,,,
N'Keal Harry,NWE,MIA,2019-09-15,2019,2,Injured Reserve,,,
N'Keal Harry,NWE,NYJ,2019-09-22,2019,3,Injured Reserve,,,
N'Keal Harry,NWE,BUF,2019-09-29,2019,4,Injured Reserve,,,
N'Keal Harry,NWE,WAS,2019-10-06,2019,5,Injured Reserve,,,
N'Keal Harry,NWE,NYG,2019-10-10,2019,6,Injured Reserve,,,
N'Keal Harry,NWE,NYJ,2019-10-21,2019,7,Injured Reserve,,,
N'Keal Harry,NWE,CLE,2019-10-27,2019,8,Injured Reserve,,,
N'Keal Harry,NWE,BAL,2019-11-03,2019,9,Injured Reserve,,,
N'Keal Harry,NWE,MIA,2020-09-13,2020,1,Questionable,Shoulder,,
N'Keal Harry,NWE,SEA,2020-09-20,2020,2,Questionable,Shoulder,,
N'Keal Harry,NWE,LVR,2020-09-27,2020,3,Questionable,Ankle,,
N'Keal Harry,NWE,BUF,2020-11-01,2020,8,Out,Concussion,,
N'Keal Harry,NWE,NYJ,2020-11-09,2020,9,Out,Concussion,,
N'Keal Harry,NWE,BAL,2020-11-15,2020,10,Questionable,Concussion,,
N'Keal Harry,NWE,HOU,2020-11-22,2020,11,Questionable,Shoulder,,
N'Keal Harry,NWE,ARI,2020-11-29,2020,12,Questionable,Shoulder,,
