Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Nate Orchard,CLE,WAS,2016-10-02,2016,4,Out,ankle,,
Nate Orchard,CLE,NWE,2016-10-09,2016,5,Out,ankle,,
Nate Orchard,CLE,TEN,2016-10-16,2016,6,Out,ankle,,
Nate Orchard,CLE,CIN,2016-10-23,2016,7,Out,ankle,,
Nate Orchard,CLE,NYJ,2016-10-30,2016,8,Out,ankle,,
Nate Orchard,CLE,DAL,2016-11-06,2016,9,Out,ankle,,
Nate Orchard,CLE,BAL,2016-11-10,2016,10,Out,ankle,,
Nate Orchard,CLE,PIT,2016-11-20,2016,11,Out,ankle,,
Nate Orchard,CLE,NYG,2016-11-27,2016,12,Out,ankle,,
Nate Orchard,CLE,CIN,2016-12-11,2016,14,Out,ankle,,
Nate Orchard,CLE,BUF,2016-12-18,2016,15,Out,ankle,,
Nate Orchard,CLE,SDG,2016-12-24,2016,16,Out,ankle,,
Nate Orchard,CLE,PIT,2017-01-01,2016,17,Out,ankle,,
