Player,Team,Opp,Date,Season,Week,Status,Injury,Specific_Inj,Side
Neal Sterling,JAX,CHI,2016-10-16,2016,6,Questionable,foot,,
Neal Sterling,JAX,OAK,2016-10-23,2016,7,Questionable,foot,,
Neal Sterling,JAX,DET,2016-11-20,2016,11,Questionable,foot,,
Neal Sterling,JAX,TEN,2016-12-24,2016,16,Out,concussion,,
Neal Sterling,JAX,IND,2017-01-01,2016,17,Questionable,concussion,,
Neal Sterling,NYJ,CLE,2018-09-20,2018,3,Out,Concussion,,
Neal Sterling,NYJ,JAX,2018-09-30,2018,4,Out,Concussion,,
Neal Sterling,NYJ,DEN,2018-10-07,2018,5,Out,Concussion,,
Neal Sterling,NYJ,MIA,2018-11-04,2018,9,Injured Reserve,Concussion,,
Neal Sterling,NYJ,BUF,2018-11-11,2018,10,Injured Reserve,Concussion,,
Neal Sterling,NYJ,NWE,2018-11-25,2018,12,Injured Reserve,Concussion,,
Neal Sterling,NYJ,TEN,2018-12-02,2018,13,Injured Reserve,Concussion,,
Neal Sterling,NYJ,BUF,2018-12-09,2018,14,Injured Reserve,Concussion,,
Neal Sterling,NYJ,HOU,2018-12-15,2018,15,Injured Reserve,Concussion,,
Neal Sterling,NYJ,GNB,2018-12-23,2018,16,Injured Reserve,Concussion,,
Neal Sterling,NYJ,NWE,2018-12-30,2018,17,Injured Reserve,Concussion,,
